# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_model
# start_datetime = 2025-12-01 20:21:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpykXlga/standata-89d056b065a1.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpykXlga/detection_model-202512011521-1-9151ff.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpykXlga/detection_model-profile-202512011521-1-64e7e7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.0676344
# Diagonal elements of inverse mass matrix:
# 0.666611, 0.56217, 0.688073, 0.558302, 0.519294, 0.469291, 0.513522, 0.391462, 0.341668, 0.467034, 0.328852, 0.467775, 0.688644, 0.333024, 0.392209, 0.35874, 0.394715, 0.531852, 0.378613, 0.511914, 0.641696, 0.338251, 0.577344, 0.37998, 0.301486, 0.480059, 0.547378, 0.385749, 0.536932, 0.432452, 0.356739, 0.343309, 0.352453, 0.512058, 0.45785, 0.608005, 0.372502, 0.319935, 0.40975, 0.395407, 0.286146, 0.285027, 0.495865, 0.325951, 0.413336, 0.301039, 0.504526, 0.370253, 0.696814, 0.461024, 0.418125, 0.471185, 0.356793, 0.320928, 0.257076, 0.566737, 0.452832, 0.546674, 0.357041, 0.515587, 0.581752, 0.586524, 0.271506, 0.336717, 0.44523, 0.417466, 0.305972, 0.260625, 0.433919, 0.456679, 0.277008, 0.458349, 0.297404, 0.34303, 0.410623, 0.262034, 0.466063, 0.331675, 0.501778, 0.314631, 0.298633, 0.304551, 0.314777, 0.560842, 0.40271, 0.30097, 0.272692, 0.551256, 0.480949, 0.373039, 0.287297, 0.265231, 0.34474, 0.475135, 0.32333, 0.530595, 0.616258, 0.705801, 0.789628, 0.743409, 0.595317, 0.707121, 0.68571, 0.821383, 0.765766, 0.574376, 0.711106, 0.715383, 0.785604, 0.619752, 0.71781, 0.614984, 0.616365, 0.919317, 0.809952, 0.855875, 0.91204, 0.954359, 0.660013, 0.698547, 0.721849, 0.611217, 0.696677, 0.932944, 0.670359, 0.96739, 0.671691, 0.509054, 0.499551, 0.639153, 0.57957, 0.818679, 0.615003, 0.840599, 0.730432, 0.867316, 0.59704, 0.664673, 0.805148, 0.788872, 0.638519, 0.590221, 0.788743, 0.651358, 0.793924, 0.79921, 0.545118, 0.64732, 0.61116, 0.695829, 0.78201, 0.913308, 0.500567, 0.644828, 0.690301, 0.643076, 0.649294, 0.618214, 0.599016, 0.487672, 0.532627, 0.611412, 0.687566, 0.610431, 0.590914, 0.607633, 0.592635, 0.704753, 0.590827, 0.60976, 0.6451, 0.760692, 0.528927, 0.550043, 0.579792, 0.665358, 0.430881, 0.735489, 0.7066, 0.704175, 0.67275, 0.645961, 0.807031, 0.493147, 0.487839, 0.664526, 0.362382, 1.32304, 0.468122, 1.46927, 0.11087, 0.149145
-643.284,0.997262,0.0676344,6,63,0,744.445,-0.0480501,1.01581,0.917664,0.366154,-0.529011,-0.113932,-1.24492,0.732304,0.148888,-0.347358,-0.236515,0.383518,-1.79515,0.0397677,0.412856,0.948894,1.40272,-0.397646,0.406278,-1.48605,-1.54611,1.53805,-0.682449,2.3722,1.37138,-1.06714,0.366379,0.973676,-0.448987,0.802101,-0.0754727,-0.631194,0.468379,-0.719072,0.301503,-1.70886,0.0515584,0.752185,-0.261572,0.728299,0.505412,-0.00625528,-1.32484,0.0905321,-0.332142,0.398132,0.0241262,0.685992,-0.279311,0.189073,-0.160089,-1.11098,0.386938,0.000473714,1.0732,-0.0230147,1.65242,-0.683842,0.553472,-0.82144,-0.924268,0.039878,0.327986,-0.220273,-1.1621,0.299662,0.477322,1.36656,-1.51455,-1.35734,0.843565,-2.58912,0.00685108,-0.0756027,-0.706183,0.448044,-1.57902,-1.10527,-1.77589,1.01589,1.49638,1.10354,-0.335085,-0.466616,0.290113,1.69524,1.16929,0.840934,-1.61118,-0.119146,-0.911632,0.437795,0.0618138,-2.0712,-0.690462,-2.43509,0.918301,1.09722,-0.38691,-1.02999,0.490628,-0.0334968,0.527922,0.366494,0.165826,0.863354,-0.600268,-1.01675,-1.08407,-0.292305,0.196001,0.621795,0.213768,1.6654,-0.381826,-0.484736,0.295201,0.503306,0.22752,-1.1838,0.476274,1.86521,0.79256,-0.136978,0.366133,-0.322103,0.981579,-0.959034,0.67997,-0.702628,-0.156747,-1.0303,-0.0243767,-0.496776,-1.76244,0.825916,0.717598,1.6495,-0.649346,-2.22135,0.331159,0.404737,0.597525,0.400176,-1.78775,-0.667995,0.190692,0.206064,-1.32958,0.518922,-1.4444,0.894966,2.03744,0.386654,0.938638,-0.618688,0.614401,-1.02891,-0.578143,0.383775,1.3631,0.864371,-0.209105,0.971627,0.528079,0.485585,0.231051,-2.10225,-0.0522196,0.41725,-0.273257,1.40875,0.382779,-0.0892702,-0.267819,-1.30443,1.99257,-1.35272,-0.403083,-0.806045,-1.19054,-0.663057,-1.1586,-0.673106,1.76364,-1.66212,-1.14324,1.21606,-2.19733,0.324642,1.14839,0.844105
-625.072,0.960287,0.0676344,6,63,0,725.3,-1.82242,1.10243,-0.23442,-0.448204,-1.1289,-1.39471,-0.361072,-0.161631,-0.470778,-0.102502,-0.382096,-0.70539,-0.0948646,1.19679,1.10417,1.17423,-1.0148,-0.127085,0.577066,-0.220905,-0.445946,1.00582,-1.20177,0.0744771,1.00256,0.522283,-1.59356,-0.501343,-1.626,-0.217562,0.884227,0.786466,0.48606,-2.11273,0.580281,0.235674,-1.18304,0.778782,-0.147205,0.195671,1.56937,0.322451,-0.676167,-0.00659724,-0.0582724,-0.0402944,-1.3419,1.06664,-1.17556,-0.529091,-0.175529,-0.927564,-0.415503,0.835583,0.29337,-2.03681,-2.11491,-0.696287,0.516962,-1.29621,-1.51901,-1.79724,0.0938953,0.60663,0.536198,-0.784936,0.849563,1.32795,-1.13448,-0.800944,0.403257,0.723196,1.38398,-0.626649,-0.317854,1.99422,-0.235659,0.182139,-0.245303,-0.138655,0.865946,1.20904,-0.0767646,-0.929866,-0.702013,2.23266,-0.348581,-2.1348,-0.186502,0.643157,0.940761,1.7843,-0.189272,-1.00291,0.717524,0.0718953,0.428951,-0.283983,-0.297064,-0.284728,-0.581133,-0.692984,-0.140642,-0.596335,-0.274524,1.23333,-0.587413,-0.736234,0.400624,-0.297669,0.142881,-0.39203,0.812548,-1.62442,-1.84201,-0.542215,-1.30063,-2.47747,-0.801636,1.18919,0.65963,0.728462,-0.860881,-1.91007,0.266521,-1.59125,-1.75274,0.488703,0.77447,-0.0928026,0.94064,-0.47243,0.0536756,-1.26995,-0.223873,-2.62797,1.00333,0.332504,-1.65903,-0.114045,-1.45389,-0.627379,-1.06385,-1.12434,1.15126,-0.534642,0.691988,0.633524,-0.430695,-0.808168,0.0917197,-2.83593,1.93743,-1.94088,-0.175938,-0.951024,-0.514624,-0.491165,-0.144049,1.07231,-0.310545,-1.80446,0.850024,0.384131,-0.998179,-1.14046,0.591467,0.588785,-0.249275,0.111972,0.758469,-2.99534,0.135569,0.464609,-0.655873,-0.615038,1.76281,-0.954089,-0.365587,0.921458,2.01822,0.489279,0.618981,0.696159,-0.825626,1.14875,-0.596309,0.222485,-1.06475,0.131212,1.64012,0.998602
-623.952,0.982527,0.0676344,6,63,0,713.352,-0.578813,-0.0838633,-0.591408,-0.873039,-1.09074,-1.33725,-1.25956,-0.771819,0.146963,0.0149002,-0.443993,-1.2132,-1.61178,0.471485,1.46864,1.38573,-1.51376,-1.42689,0.671389,0.159041,-0.563399,0.874798,-1.82398,0.508889,1.24809,0.0312319,-0.850679,0.56887,-0.603617,0.331774,0.344843,0.499602,1.52852,-2.39885,-0.0549581,-0.238816,-1.16728,0.894776,-0.236275,0.0570802,1.00491,0.742689,-0.3573,-0.289748,-0.415817,0.336767,-0.642529,0.763181,-0.896205,-0.716807,-0.354621,-0.888991,-0.515564,-0.0130497,0.131447,-1.71844,-1.03968,-0.612091,1.26148,-2.03447,-1.43447,-0.302755,-1.04597,0.244439,-0.538825,0.0596812,0.387461,1.24993,-2.16878,-0.631484,0.126731,-1.03974,1.07636,-0.975163,-0.287765,1.93024,-0.658341,0.372605,0.252656,-0.178583,1.76664,0.776652,-0.652258,-1.02738,-0.645722,2.20958,-0.155673,-1.88505,-0.928898,0.758653,0.993899,0.973927,-0.172986,0.0824846,0.458203,-0.421398,0.727431,0.0161249,0.876405,-0.497608,0.92545,-0.981717,0.19361,0.801416,-1.42262,2.02737,-1.1097,-0.301212,1.0513,-0.0710512,0.90546,-0.240399,0.535856,-1.41081,-1.91102,-1.77418,-2.3453,-0.688874,-1.09608,-0.596547,0.507139,0.790516,-0.541357,-1.37704,0.711655,-1.5298,-0.613289,-0.395891,0.952908,-2.08011,1.36677,0.158302,0.158064,-0.618461,-0.707167,-1.99155,1.4979,-0.249347,-1.94437,-0.217306,-0.601678,-0.578264,-0.144807,-1.64739,-0.221094,0.197358,0.565064,0.667763,-0.485244,-1.69587,-0.433315,-1.29019,1.64136,-1.09546,0.388779,-1.11842,0.240423,0.0418257,0.403948,1.55203,1.38148,-1.3586,0.728777,1.02009,0.0963974,-1.20952,0.0213639,0.296818,-0.322227,-0.0918527,0.699059,-2.91806,-0.0474465,0.155058,-0.968239,0.196187,2.42174,-0.98542,-0.0960437,0.364204,1.11815,0.102054,-0.700392,1.85026,-0.363682,1.88726,0.0681008,1.07307,-1.4654,0.32589,1.49724,0.97767
-627.664,0.995801,0.0676344,6,63,0,724.302,-0.681371,-0.011523,-0.608022,-0.961647,-1.14354,-1.27233,-1.34872,-0.668305,0.213799,0.0557676,-0.484437,-1.1562,-1.52545,0.52087,1.55315,1.39118,-1.47447,-1.40782,0.615486,0.01865,-0.650554,0.908015,-1.99301,0.570369,1.23446,0.145126,-0.957335,0.583138,-0.627297,0.364871,0.284575,0.383614,1.58478,-2.38898,-0.134787,-0.1264,-1.21287,1.00708,-0.251737,-0.00100437,1.00521,0.706533,-0.586265,-0.362258,-0.534028,0.213583,-0.547571,0.655877,-1.02076,-0.77693,-0.387964,-0.928831,-0.712452,-0.0887027,0.0624778,-1.62721,-1.12638,-0.692004,1.11778,-2.04809,-1.44913,-0.399161,-1.09612,0.165114,-0.72185,-0.016121,0.449696,1.24667,-2.10573,-0.536047,0.0792251,-1.18603,1.06703,-1.02195,-0.37298,1.92699,-0.810293,0.41979,0.531515,-0.100127,1.76374,0.699362,-0.802425,-0.981382,-0.61675,2.27002,-0.113561,-1.90947,-1.06916,0.779295,0.866075,1.0453,-0.0859775,0.0924235,0.457794,-0.168925,0.664974,0.0831099,0.967218,-0.294514,0.912929,-0.966616,0.330566,0.750888,-1.27416,2.13471,-0.951472,-0.222428,1.23067,-0.224281,1.09073,-0.327502,0.440146,-1.37298,-1.89245,-1.72952,-2.42111,-0.980145,-1.12121,-0.601132,0.553143,0.87036,-0.587531,-1.52592,0.682827,-1.42714,-0.505598,-0.337132,0.820461,-2.00311,1.45813,0.169466,0.0650051,-0.522142,-0.674212,-1.83398,1.6225,-0.150532,-1.99055,-0.168188,-0.681925,-0.552831,-0.494267,-1.59826,-0.109356,0.229395,0.406299,0.750309,-0.37688,-1.60112,-0.50296,-1.34207,1.75041,-0.968434,0.3427,-1.04414,0.283403,-0.158746,0.591168,1.80814,1.50825,-1.41579,0.8093,0.913852,-0.00224112,-1.20452,-0.149471,0.266975,-0.427532,-0.126109,0.638721,-2.87084,-0.021274,-0.0204395,-0.997223,0.115369,2.50344,-0.970105,-0.114326,0.243608,1.06067,0.276675,-0.713386,1.87147,-0.477277,1.78685,0.122569,1.05501,-1.32294,0.317133,1.47209,0.969849
-641.016,0.865068,0.0676344,6,63,0,724.115,-1.41903,-0.423207,0.368718,-0.751327,-1.77805,-2.47087,-1.74502,-1.3557,-0.154495,-0.244847,-1.13251,-0.466548,-1.26728,0.615752,1.01768,1.40615,-0.987916,-0.842533,0.638447,-0.272554,-0.617481,0.652404,-1.26084,0.690327,1.57567,-0.614246,0.60131,-0.219359,-1.30266,-0.326552,0.655653,0.283941,0.766863,-1.91201,0.459648,-0.531852,-0.428751,0.847635,0.239857,0.265383,1.01479,0.566507,-0.855668,-0.603178,0.723917,-0.780375,-0.266408,2.08438,-1.25493,-0.508128,-0.693958,-1.80775,-0.325279,1.01683,1.06795,-1.13809,-1.10439,-1.35624,0.199614,-1.90955,-0.0116022,-2.42996,-1.68761,0.0170334,0.135565,-0.568655,0.395412,1.5676,-1.98292,0.264007,-0.190856,-1.67011,0.574925,-1.22745,0.238567,1.84118,-1.55768,0.37143,0.0837167,-0.294228,1.45431,1.18228,-0.202364,-0.0483654,-0.167974,2.16675,0.703051,-1.32628,-1.3881,0.939881,-0.341667,0.866738,0.435907,0.134547,0.183035,-0.50225,0.780794,0.724908,-0.502935,0.166515,0.638966,0.714023,0.649085,-0.689105,-0.969539,2.21407,-0.980703,-1.24286,-0.182304,-0.190861,1.7459,-0.315211,-0.432749,-0.499037,-3.13242,-1.2253,-1.91872,-1.31069,-0.950776,-1.23613,0.573745,0.788594,0.708646,-2.47979,-0.439709,0.462429,-0.370625,0.157807,0.659191,-1.59646,1.68777,0.275882,0.521105,-0.690583,-0.846983,-2.00297,0.683471,-0.979621,-1.41596,-0.986364,-0.120031,0.231734,1.60253,-1.77866,-0.288137,-0.383596,0.720046,1.57029,-0.483526,-0.537143,0.947491,-1.08624,1.85004,-0.701443,-0.426716,-1.46425,-1.04816,0.505663,0.544127,0.400739,1.08487,-1.11915,0.713087,0.749894,1.05298,-1.18561,-0.181159,-0.592839,-0.593392,-1.45624,1.7665,-1.87233,0.229486,-0.91571,-1.02903,0.308763,1.27623,-1.05512,-0.193299,0.0039256,0.192253,-0.703685,-2.72322,0.727552,0.226464,-0.0903659,0.664194,1.14212,-1.70867,1.06343,1.41652,0.730852
-643.606,0.841661,0.0676344,6,63,0,739.416,-0.357643,-0.359165,1.11972,0.122027,1.0126,0.256107,-0.812701,0.396348,-0.59466,0.578339,0.123189,-0.705331,-1.68737,1.28774,0.625949,0.500592,2.40829,0.409575,1.23446,-0.886747,-1.53893,1.45237,-0.210459,1.31307,1.06074,-0.199076,-1.86072,1.39578,0.227076,1.30533,0.626289,1.03516,0.674744,-0.490252,0.168115,-0.841925,-1.13701,1.21161,-0.564019,0.527352,0.92665,0.643487,-0.431981,1.01138,-0.185533,0.908219,-1.1188,1.07707,-1.31864,-0.845835,-0.303359,0.105753,-0.313386,0.439579,-0.141779,-1.55161,0.963402,0.163201,0.459648,-0.216675,-1.61163,1.15696,2.21893,0.790084,-1.54809,-0.116335,0.812227,1.35443,0.172455,-1.67815,0.113769,-0.429015,-0.0985364,-0.853538,-1.98726,0.877254,-0.824706,-0.960047,-2.02356,0.114759,0.910965,0.908947,-0.346166,-0.90086,-0.304773,1.19924,0.0361561,-0.812962,-0.0844756,0.400425,-0.0796696,0.593219,-0.113418,-1.3998,0.154074,-1.39893,-0.296684,0.703833,0.903023,-1.05107,0.821384,-0.572515,-1.34954,1.08266,-0.342602,-0.515804,0.141112,0.59933,0.407051,1.21274,-0.442986,0.919367,1.27386,-1.13843,2.07589,1.20169,0.0190349,0.13978,0.0837482,0.926977,1.18494,1.63751,-0.529895,-0.1235,0.352651,-2.23178,-0.0294019,0.641835,0.0441558,0.831053,-0.64673,-0.323703,0.228485,-0.442246,-0.558447,1.13243,1.20856,2.1823,0.384229,0.426277,-0.502851,0.0962322,-0.472035,0.936096,0.764959,-0.0234854,-0.419349,-0.454524,0.348943,-0.0162919,-2.44212,-0.639286,2.24781,0.636465,1.59263,0.595066,1.98826,0.0761223,-0.510189,0.254941,1.03027,0.590787,-1.6571,1.10363,-0.347822,0.521943,0.380508,-0.499809,0.687412,0.536007,-0.282564,-0.404923,0.611823,1.48737,0.49836,-1.92347,1.58278,-1.06861,-0.635357,0.347617,-0.900993,-0.349511,1.4898,-0.875598,0.137738,-0.105702,-1.76384,0.504099,-1.63927,0.0463621,2.94519,1.23786
