# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_model
# start_datetime = 2025-12-01 20:21:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpykXlga/standata-89d056b065a1.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpykXlga/detection_model-202512011521-2-9151ff.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpykXlga/detection_model-profile-202512011521-2-64e7e7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.0656421
# Diagonal elements of inverse mass matrix:
# 0.758281, 0.624243, 0.741628, 0.564325, 0.512203, 0.516744, 0.650683, 0.435167, 0.42422, 0.427266, 0.460269, 0.4095, 0.565695, 0.405445, 0.361694, 0.315177, 0.429387, 0.398321, 0.387523, 0.543482, 0.460675, 0.386267, 0.566308, 0.41559, 0.369124, 0.489792, 0.55178, 0.402085, 0.510519, 0.443285, 0.430913, 0.41916, 0.369943, 0.501242, 0.416948, 0.47391, 0.576329, 0.384885, 0.334332, 0.321863, 0.313159, 0.294755, 0.612381, 0.324464, 0.389832, 0.362889, 0.551157, 0.374257, 0.509257, 0.383662, 0.374104, 0.513645, 0.400094, 0.347528, 0.346851, 0.577171, 0.420551, 0.618848, 0.366797, 0.651465, 0.567856, 0.536022, 0.341754, 0.347369, 0.380109, 0.380722, 0.309129, 0.348728, 0.787487, 0.516741, 0.282524, 0.622044, 0.301935, 0.328913, 0.480771, 0.284815, 0.587345, 0.369728, 0.513962, 0.339665, 0.286188, 0.336498, 0.362904, 0.500712, 0.377608, 0.330335, 0.34718, 0.60542, 0.536003, 0.342403, 0.282021, 0.279853, 0.32567, 0.514447, 0.414814, 0.539556, 0.705869, 0.612021, 0.906746, 0.682345, 0.651402, 0.71995, 0.659972, 0.774882, 0.669486, 0.77577, 0.672101, 0.71338, 0.710832, 0.645681, 0.789073, 0.729253, 0.601944, 0.762887, 0.741407, 0.816039, 0.918554, 0.795074, 0.767546, 0.714877, 0.614937, 0.588398, 0.804848, 0.8859, 0.627666, 0.918602, 0.598726, 0.696389, 0.563545, 0.668244, 0.680341, 0.710961, 0.69303, 0.771535, 0.801216, 0.758303, 0.604443, 0.550629, 0.721565, 0.708109, 0.69034, 0.631503, 0.687336, 0.781878, 0.67751, 0.77015, 0.550241, 0.65678, 0.709456, 0.86977, 0.883375, 0.879504, 0.481082, 0.800904, 0.603741, 0.824493, 0.712801, 0.549651, 0.637455, 0.652344, 0.531691, 0.738637, 0.631333, 0.55136, 0.590857, 0.685986, 0.595668, 0.842286, 0.645034, 0.706666, 0.704876, 0.604665, 0.564425, 0.657065, 0.680189, 0.647461, 0.459151, 0.74947, 0.742352, 0.634929, 0.621344, 0.746611, 0.69099, 0.663854, 0.558593, 0.711471, 0.454485, 1.21921, 0.492565, 2.59605, 0.111286, 0.172328
-640.021,0.982932,0.0656421,6,63,0,728.153,-0.263421,0.228542,1.20452,-0.182388,-1.8006,-2.38655,-0.815255,0.0658348,-0.0915276,-0.809507,0.0319241,-0.839686,-1.96159,1.01166,1.14786,0.840866,0.880128,-0.576922,1.89843,-0.162743,0.111888,1.38377,-0.409948,0.62693,0.184287,0.453741,-0.136109,-0.249291,-1.03126,0.0987013,0.84355,-0.383146,1.29519,-1.34585,-0.187864,0.256159,0.323769,1.86937,0.0664989,0.741871,0.685511,1.59517,-0.414778,0.889572,-0.207003,0.65661,-0.871614,0.327773,-0.820921,-1.12511,0.321203,-1.0625,0.322315,1.18849,1.49999,-0.775071,-0.986948,-1.95095,0.981024,-0.519671,-1.66538,1.20168,0.626999,-0.0970405,-0.0210684,-0.735911,0.455496,1.84756,0.235949,-0.116171,0.858,-0.432909,0.482711,0.932752,-0.439803,2.14238,0.313793,0.129741,-1.01043,0.362136,1.36391,1.96829,-0.0532819,-0.944103,0.0974044,3.23907,-0.685592,-0.81726,-0.377489,0.582041,-0.0777931,1.28836,0.309732,0.414901,-0.0697882,-0.962957,-0.223017,-0.858424,-1.13275,-1.21972,-0.492081,0.566285,-1.9024,-0.454609,-0.650441,1.66329,-0.118115,0.0423594,0.838178,1.42996,-0.645883,0.379489,1.95401,1.24351,-2.24494,-0.452426,-1.41649,-0.977252,-0.449456,-0.158702,-0.825793,1.08679,-0.41967,-0.672157,0.893959,2.06039,-0.229213,0.180831,1.19991,-0.85307,2.12966,-0.862552,0.388083,-1.41043,0.0303608,-1.34874,0.437493,0.0247612,-1.21612,-1.18687,0.383436,-0.847963,0.216071,-0.25193,-0.0962515,0.0766643,1.19334,1.00222,-0.00601941,0.76879,0.790352,0.0302157,1.17087,-0.52813,1.17146,-0.424648,-0.954782,0.191041,-0.534172,1.28178,-0.750372,0.358616,-0.282344,0.0215055,-0.117557,-0.958293,-0.335722,-1.26893,-0.661667,-1.02362,-0.0365748,-1.12674,1.38003,-0.298962,0.793497,-0.296103,1.4604,-1.38488,-2.40013,0.261842,-0.376435,-2.15097,-1.79327,0.40154,-0.87317,-0.152762,-1.51861,0.66501,-1.50494,1.29014,2.0884,1.23646
-629.762,0.793845,0.0656421,6,63,0,730.484,-0.550717,-0.51484,1.43903,-0.126257,-1.20073,-1.04208,-1.51261,0.0500855,-0.235856,0.0269946,-0.21377,-1.34812,-0.79678,1.46649,0.756109,1.36292,0.422016,-0.828524,0.607956,-0.514022,-1.50299,1.0246,-1.68731,1.44865,1.48024,0.322459,0.906128,0.741148,-0.747689,0.455333,0.670697,0.49185,0.432206,-1.74898,0.299042,0.143976,0.506219,1.75132,0.0719179,0.554905,1.61061,1.75605,-0.278882,0.62359,0.234965,0.768344,-1.32152,1.26703,-0.893774,-0.700054,0.21668,-2.22479,1.54981,1.25005,0.615094,-1.82684,-1.25597,-2.28509,0.812222,1.32529,-1.92546,0.204467,-0.11321,0.08222,0.241307,-0.618385,0.699789,2.05163,-0.617373,-1.2118,0.210592,-0.848981,0.458811,0.358188,-0.661733,1.31276,0.444958,-0.0252606,-0.338566,1.02803,1.50984,1.40998,0.00252703,-0.715828,1.09038,3.28052,0.233074,-0.958662,-0.821583,0.768811,0.323964,0.97172,-0.0884284,-0.701228,-0.0349609,-1.17637,-0.680189,-0.0427769,0.0504869,-0.770296,-0.98909,-0.595094,-1.46269,0.562245,0.0225138,0.161614,-1.01308,-1.77026,1.37378,2.69969,0.457934,0.570133,0.446537,0.454539,-2.98816,-2.433,-1.18385,-1.84342,-0.700906,-0.0692609,-0.949201,0.88408,0.190146,-1.68448,0.0963017,1.85849,-0.738692,0.969016,1.13913,-0.213811,1.26638,-0.246123,0.915369,-1.94559,-0.153986,-0.275811,1.06289,0.565207,-1.0788,-0.560546,1.2744,-0.436473,0.512989,0.910758,0.629043,-0.38898,1.00334,0.942907,0.292841,-0.374422,1.02297,-0.732865,1.15586,-0.00140446,1.33263,-1.25612,0.533778,-0.422796,-0.0838584,0.779063,-0.445876,-0.665525,-0.236642,0.208498,0.0264365,0.138822,-0.760179,-1.88275,-0.508827,-1.18692,0.483624,-1.66938,0.107184,0.600307,-0.163201,-0.688632,1.08408,-1.63587,-1.53211,0.445922,-1.24499,-1.78362,-0.434116,0.412028,-0.423052,0.383118,-1.35508,0.252606,-1.41091,0.479477,1.9937,1.34217
-628.911,0.985473,0.0656421,6,63,0,729.289,-1.20452,-1.15658,1.11309,0.757471,-0.712998,-1.57194,-0.578789,-0.25921,0.230983,0.13706,0.0938834,-1.58139,-0.707013,1.3858,-0.052106,1.26693,1.66259,1.14032,1.32363,-0.813059,-0.90746,1.06195,-2.2011,1.20335,2.21361,-1.25997,-1.952,-0.0434163,-1.66719,0.957602,0.36984,0.162156,-0.185771,-2.49304,0.658013,0.534402,-0.904697,0.757238,0.306982,0.555685,1.52837,-0.133725,-0.581785,-0.150929,0.04456,-0.0548118,-0.540895,1.78413,0.0145757,1.14819,0.330205,-0.593229,0.745036,0.450436,1.09558,-1.2787,0.365046,-0.430202,0.122512,-1.18349,-0.284779,-0.839689,0.0740631,0.643823,-0.830831,-0.266212,0.855862,1.18515,-0.265007,-0.130513,0.703941,-0.0411824,0.948136,0.672165,-2.05214,0.960243,-1.84533,-0.0403748,-0.460884,-0.0101767,1.16448,1.80356,0.896953,-0.389955,-0.756517,1.51075,0.342121,-0.431267,-1.56662,0.323642,0.44524,0.984557,0.35834,-1.47385,0.0517206,-0.568487,0.386737,1.48974,-1.44367,0.853184,0.654343,-0.557209,-0.453635,-0.460698,-0.730564,1.92775,-0.848408,-0.273241,0.115765,1.97205,0.177392,1.08696,1.11111,-1.68757,-2.23415,0.728728,-1.69302,-1.87937,0.19326,0.588041,0.25968,0.449166,0.0775209,-3.17622,-0.474969,-0.271756,-0.149255,0.497515,1.80209,0.704457,0.70187,-0.771605,0.265739,-1.35833,-0.929807,1.96233,0.891241,1.05918,0.543484,0.284956,0.0768985,0.196745,0.438825,-2.01911,0.123531,0.412033,0.935141,1.3388,-0.618792,1.59077,-0.0254241,1.80462,1.13437,0.0586712,1.70186,0.579307,-0.0770952,0.529288,-0.556763,0.348878,0.896426,-1.01642,0.805797,-0.058833,-0.202914,1.06147,-0.691737,-1.16998,-0.616602,0.761449,1.074,-2.25939,0.553067,0.29191,-0.282444,-0.625567,1.39188,-1.01098,-0.956561,-1.39157,0.888763,-0.627215,0.709536,0.223061,0.142616,0.696755,-1.30344,0.472798,-1.31178,0.0284664,2.93247,1.78056
-613.988,0.934615,0.0656421,6,63,0,720.788,0.0724922,-0.0581868,-0.0397178,-0.0527816,-0.381491,0.158314,-1.22102,-0.547242,-0.963904,-0.705463,-0.845529,0.578494,-1.10322,0.341314,1.5359,0.100789,-0.775448,-1.13847,-0.123863,-0.947124,-0.754554,0.711358,0.107123,0.490314,1.21284,0.552875,-0.612757,0.218655,-0.21925,-0.618642,0.317833,-0.210348,0.825892,0.164576,0.109853,-1.42553,-0.71643,2.07743,-1.27891,0.317448,1.44645,0.161133,-1.03865,0.759307,-0.443818,0.187566,-1.20458,1.3032,-1.42718,-1.18556,-0.852566,-1.04487,-0.257059,0.855866,0.419459,-0.278954,-0.48058,-1.40211,1.11801,-0.372518,-1.28443,-0.653601,0.572,0.0722653,0.576282,-0.550618,0.154751,1.3487,-1.3942,-1.96683,-0.0352781,-1.85508,0.523751,-1.44099,0.106508,1.84915,-0.0859085,-0.52735,-1.27519,-0.031314,0.95725,0.0365547,-1.62042,-1.32458,0.224319,2.4519,-0.259476,-1.29495,-0.386221,-0.109111,-0.407759,1.1015,-1.028,-0.568545,-0.684338,-1.17331,-0.160507,-0.256696,0.882965,-1.06542,0.857895,0.0916358,-0.160381,0.999164,0.095577,0.614944,-0.460702,-0.0690559,-0.145791,-0.490313,0.339511,-0.0386602,0.51042,-0.247579,0.479455,-0.908072,0.110292,-0.123201,-0.608666,0.00694913,0.969108,1.3938,0.972885,0.882566,1.02219,-1.15023,0.709192,-0.555083,0.0856786,-0.812962,0.809296,-0.171167,0.260349,-0.618473,-0.430141,-2.60009,1.68221,0.509376,-2.31532,-1.55513,0.00809881,-0.164755,-0.715619,1.37739,-0.0536125,-0.837143,0.347145,0.916238,0.0962439,-1.58634,-1.32228,-2.94544,2.43039,-0.107051,-0.0744005,-1.82993,0.214542,-0.440034,-0.0048367,1.25065,0.306333,0.415112,-0.702908,1.21192,-0.159597,-1.88244,0.61117,-0.635235,-0.0537344,-1.57593,0.187219,0.176646,0.49239,0.806817,-0.811454,-0.114271,1.31506,-1.05555,-0.474233,1.16344,-0.457807,-0.784859,-1.13379,0.477644,0.139542,-1.22941,-1.04919,0.384169,-2.35037,1.12771,1.94291,1.12688
-614.329,0.998035,0.0656421,6,63,0,697.739,0.889573,0.117069,0.579049,-0.0269459,-0.0058427,0.745902,-0.485202,0.279851,-1.34511,-1.32695,0.00395431,-0.282169,-0.901117,1.8025,1.88978,0.400308,-0.422212,0.29892,0.40248,-0.832597,-0.699415,1.29011,-1.00233,1.36658,1.00859,-0.757469,-0.441017,0.253199,-0.419971,-0.268013,0.329775,0.046686,-0.933489,-0.109684,0.455455,-1.22013,-0.76012,2.65457,-1.10312,-0.567088,1.55551,0.246332,-0.848168,1.84732,-0.387804,0.791085,-3.01565,2.00586,-1.15642,-0.662216,-1.92999,-0.572458,-0.0881798,0.363291,1.69493,-0.199593,-0.108888,-0.295496,1.77219,-0.415152,-1.74004,-0.731488,0.325162,0.264784,-0.874885,0.0594516,0.0805969,0.869351,-1.21053,-1.50354,0.327973,-1.07824,-0.0805416,-1.12143,-0.479131,2.48906,-0.111559,-0.998702,-1.96857,0.114118,0.956896,0.43924,-0.67277,-1.03369,0.0136885,1.90061,-0.408876,-0.487596,-0.488276,-0.131322,-0.172606,1.18004,-1.11632,-0.86289,-0.711354,-1.68895,1.35009,0.237196,0.43544,-1.06671,1.48254,0.544384,0.269946,0.781836,0.178025,2.1179,0.143564,-0.333133,0.488088,-0.213064,0.628024,0.469923,1.55096,-1.23778,0.103114,-0.467655,-0.193654,-0.394278,-0.0283067,0.223618,0.541193,1.4386,0.271279,-2.00138,0.415681,-0.534336,1.43707,-0.836841,0.215552,0.173893,1.37969,-0.776271,-0.317302,0.361244,-0.965779,-1.24269,1.48936,1.0235,-0.682291,-1.26561,-0.686657,0.149405,-1.06242,-0.650773,-0.908175,-0.210253,0.90701,1.34487,-0.19335,-0.404865,-0.922893,-2.0564,2.07308,0.498621,0.369846,-0.871659,0.380532,0.994669,0.353318,1.40414,-0.112172,-0.0427344,-0.577074,1.71384,-0.61164,-0.662948,0.578297,-0.18067,-0.910637,-1.30377,0.794071,-0.649028,-0.265068,0.312178,-0.813486,-0.499505,2.03337,-1.29471,-1.07272,0.73447,1.21235,-0.866292,-0.00264317,-0.669242,0.164321,-0.680824,-0.717003,0.281907,-2.56267,0.164733,1.36155,1.28208
-617.38,0.970965,0.0656421,6,63,0,707.005,-0.975754,-0.124385,-0.348105,-0.606989,-1.21523,-1.12008,-1.16668,-0.0847927,0.52647,0.615046,-0.0286767,0.249635,-0.962366,0.0180417,-0.0112625,0.987735,1.33792,-0.570139,-0.173312,-0.61056,-0.910203,1.20366,-0.422639,0.919975,1.01399,-0.0383432,-1.00063,0.78799,-2.03824,0.430975,1.12167,0.650761,1.61153,-1.97874,-0.0767122,-0.384442,-0.676735,-0.378428,0.394933,1.12421,1.62374,-0.183414,-0.405411,-1.02321,0.166328,-0.303392,1.11378,1.40389,-0.81058,0.0609708,1.47521,-0.85967,1.18774,0.5047,0.966716,-1.20926,-0.235271,-0.918402,-0.164941,-0.786057,-0.193696,-1.69176,-0.0880341,0.45303,0.386255,-0.18997,0.596305,1.14882,-0.558718,-0.328433,-0.124694,-0.580524,0.747435,0.303084,-1.35481,0.382583,-1.6577,0.560782,-0.286656,0.765358,1.21461,1.78722,-0.256719,-1.41634,-0.49118,1.39703,0.000766656,-1.25097,-1.2663,0.42584,-0.108979,-0.25892,0.635984,-0.905464,-0.100925,-0.146208,-0.139177,1.01545,-0.726378,0.635718,-0.0985841,-0.69577,-1.16142,-0.231452,-0.768495,1.81519,-1.02883,-0.0132382,0.302296,1.37649,0.0654335,0.835044,0.505042,-0.745069,-2.02509,-1.37072,-1.38854,-0.737834,0.149705,-0.0919125,-0.332554,0.733292,0.0732149,0.190386,0.450174,-0.96208,0.0654631,0.930731,1.13058,-0.553935,0.211534,-0.276593,1.25662,-2.34428,-0.39092,-0.865198,0.659297,-0.195642,-1.05328,-0.529664,0.955106,0.0738879,0.699304,0.354311,0.588623,-0.897483,0.390823,0.991057,-1.06966,-0.763341,-0.495141,0.0900087,1.28831,-0.641467,0.607101,-1.00197,0.0543978,0.168293,-1.02836,0.0791289,1.08874,-0.0942206,0.982631,-0.32117,-0.490523,0.111003,-0.703936,-0.908616,-0.189077,0.00321107,0.666057,-1.04704,0.463535,1.37741,-0.569366,0.0732922,1.2073,-0.2085,-0.29886,-0.720267,0.498791,-0.346541,-0.957051,0.363228,-0.150844,1.06196,-1.60339,0.00345755,-0.357071,0.204035,2.52518,1.87779
