# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_model
# start_datetime = 2025-12-02 02:14:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/standata-7e48598403b.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model-202512012114-1-6daded.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model-profile-202512012114-1-919e92.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.044051
# Diagonal elements of inverse mass matrix:
# 0.840245, 0.789266, 0.635907, 0.732919, 0.720135, 0.796269, 0.504875, 0.468461, 0.473199, 0.549511, 0.411741, 0.446735, 0.568497, 0.354725, 0.376854, 0.458565, 0.444026, 0.462099, 0.40406, 0.619079, 0.57152, 0.357202, 0.569585, 0.37506, 0.300773, 0.375124, 0.472486, 0.433481, 0.758817, 0.367526, 0.381423, 0.343643, 0.36341, 0.686775, 0.32005, 0.730267, 0.603038, 0.34041, 0.433824, 0.318284, 0.356364, 0.453262, 0.581658, 0.314016, 0.422935, 0.425648, 0.590374, 0.309193, 0.587977, 0.439125, 0.485561, 0.514008, 0.358138, 0.355319, 0.293165, 0.582815, 0.38562, 0.543753, 0.344573, 0.553619, 0.595382, 0.612925, 0.370259, 0.38763, 0.384285, 0.381374, 0.249471, 0.266751, 0.694508, 0.580526, 0.284837, 0.492076, 0.301961, 0.335824, 0.485639, 0.339608, 0.511287, 0.316985, 0.560304, 0.35691, 0.301482, 0.275624, 0.441846, 0.460661, 0.379452, 0.305376, 0.336402, 0.594029, 0.511316, 0.37282, 0.387262, 0.328085, 0.409637, 0.508194, 0.480208, 0.597266, 0.67436, 0.650651, 0.744111, 0.689247, 0.59119, 0.890368, 0.815416, 0.722307, 0.738505, 0.659781, 0.762242, 0.73871, 0.816397, 0.678792, 0.661638, 0.621935, 0.66478, 0.833949, 0.722727, 0.64341, 0.834526, 0.839826, 0.639238, 0.69492, 0.791207, 0.680158, 0.564588, 0.703389, 0.64813, 0.760085, 0.694657, 0.658673, 0.634243, 0.761644, 0.621782, 0.700296, 0.642167, 0.848197, 0.69744, 0.76582, 0.495041, 0.626426, 0.864383, 0.767603, 0.7946, 0.729064, 0.663728, 0.888017, 0.749685, 0.866003, 0.681543, 0.637352, 0.67659, 0.605918, 0.782262, 0.982154, 0.609872, 0.670497, 0.623461, 0.832677, 0.841349, 0.665559, 0.670655, 0.525461, 0.546503, 0.678249, 0.689767, 0.647698, 0.56306, 0.810644, 0.550008, 0.916361, 0.723893, 0.663619, 0.599337, 0.853092, 0.742327, 0.673629, 0.66647, 0.70001, 0.532914, 0.77739, 0.674925, 0.686358, 0.731143, 0.808036, 0.822161, 0.598898, 0.604796, 0.685291, 0.467651, 1.38311, 0.447756, 1.49959, 0.0768467, 0.234543
-652.151,0.991099,0.044051,7,127,0,745.987,0.49752,0.886329,0.675643,0.903728,-0.335249,0.423357,-0.940747,-0.959379,-0.366738,0.765076,-0.068132,-0.439181,-0.607112,1.35733,0.902818,0.985839,0.48509,0.410416,0.985074,-0.762113,-1.63639,1.11068,-1.10356,0.910723,0.399906,-1.11016,-1.01972,0.492924,-1.51,-0.611052,0.750395,-1.10938,-0.43249,-1.6612,-0.195017,-0.383538,-2.43521,0.80181,-0.727031,0.898039,1.01006,-0.282699,-0.266424,0.135854,-0.0756321,0.0559096,-0.982495,2.22733,-0.065669,0.474687,-0.106493,-1.44129,-0.36233,0.369466,-0.27911,-0.722653,-0.953302,-0.459755,1.53028,1.32478,-1.48352,-1.15278,-0.138172,0.492062,0.878809,0.00257407,0.790234,2.31568,-1.63538,-0.706508,-0.174036,-1.56099,1.50303,-1.43222,-0.883044,1.33239,-1.67979,-0.0366372,-0.737701,0.848085,0.755939,1.99195,0.0291984,-1.24281,-0.214996,2.37977,-0.257274,-0.0401014,-0.568192,-0.307893,-0.409887,0.523499,-0.474132,-1.84456,-0.394299,-0.494358,0.503001,-0.207058,-0.542874,-2.98118,0.764082,0.28912,-1.72934,1.26046,-0.451839,1.76759,2.43743,-0.892868,-1.99548,1.24506,-0.424859,0.606827,0.520903,-1.28056,-1.08748,1.40015,0.0624074,-0.538176,-0.779838,0.914186,1.73318,0.15944,0.208842,-1.6123,0.427278,-2.18628,1.4532,0.505881,0.877485,0.713734,1.81257,0.24064,0.457369,-1.4739,0.00272695,-0.455472,1.42676,1.172,-0.40781,-1.54315,0.29853,-0.359779,-2.58249,-0.554764,-1.28703,0.233973,0.0918125,1.07243,-0.257833,-0.189898,-0.560454,0.0093036,1.13514,0.536738,1.20322,-1.25148,1.43886,0.785331,1.37597,1.20381,1.29991,0.602292,-0.280997,-0.0368836,1.00494,-1.1068,-0.815499,-0.640342,0.153631,-0.973133,1.01661,0.0259415,0.359043,0.836147,-1.90105,0.335954,3.4683,-2.15492,-0.744261,-1.16342,0.999627,-1.32268,-1.23533,-0.814336,-0.14799,-0.386462,-1.28236,0.300925,-1.72175,0.210991,1.87851,0.895629
-619.34,0.991747,0.044051,6,63,0,728.543,1.35666,-0.790996,0.511174,-0.525297,-0.651153,-0.74792,-0.220909,-0.0827742,-0.192329,0.224983,0.141417,-1.22731,0.306078,0.923145,-0.0812696,0.841919,1.12986,-0.375225,0.497334,-0.0972918,-0.349492,0.792995,-0.661833,0.473416,0.943802,-0.792484,-0.741058,-0.839077,-1.17258,-0.463867,0.60104,0.566034,-0.814895,-0.901625,-0.148797,-1.49629,-2.00917,0.872894,-0.0445854,0.694751,1.70688,0.430417,-0.60791,0.389747,-0.166503,-0.293269,-0.388136,1.50618,-0.930507,1.09439,0.193212,-0.783769,0.0542736,-0.0198883,0.792512,-0.98444,-0.839665,-0.106262,1.21954,-1.2271,-1.84014,-0.902658,-0.0225474,0.00755037,-1.13319,0.53795,0.874705,1.91641,-2.01826,-0.0758278,0.385735,-1.68051,0.365456,-1.19315,-0.635674,2.4528,-1.01644,0.15488,-1.55944,0.61299,1.43535,1.45046,-0.195316,-0.421857,-0.86192,1.81468,-0.0225641,-1.20811,1.14211,0.425118,0.371524,1.1718,0.234344,-0.579665,0.362659,0.0357687,0.826522,0.495306,-0.121358,-1.65554,0.672464,-0.277127,-1.18736,-0.0092299,-0.305377,-0.219904,-0.0623423,-1.10916,-0.377171,-0.577394,0.0420356,0.510286,0.595926,-1.83929,-1.25949,-0.672064,-2.01572,-1.00739,-1.15283,0.152395,-0.161052,1.75642,0.123978,-1.27497,-0.333157,-1.20904,1.12208,1.82031,0.514829,-0.495017,1.33223,1.02887,-0.0378217,-0.413741,0.121008,-0.687944,2.25944,2.29638,-1.13132,-1.15196,0.874472,0.225607,-1.00935,-0.893834,-0.136906,-0.0533487,0.6476,0.662765,-0.734083,0.101147,-0.118849,-0.349622,2.58114,1.12804,0.440648,-0.774183,0.434499,-0.0241745,0.276815,-0.225674,0.850241,-0.143111,0.950971,1.07901,1.19327,1.28937,-0.345421,-0.56995,-0.89076,-1.08362,0.687019,-0.786814,-0.509879,-1.05924,-1.35136,-0.567583,2.79187,-1.77875,-1.68019,-1.12933,0.881309,-1.18,-1.16456,-0.679519,0.412193,0.387097,-0.214627,0.331039,-1.36618,1.66333,1.48319,0.928513
-636.941,0.947382,0.044051,7,127,0,720.175,-1.91195,0.528145,-0.0875754,0.578864,-0.566548,0.371367,-1.27198,0.21924,0.309136,-0.922642,-0.817739,0.581186,-1.93072,1.47655,2.36802,0.744907,0.0448924,-0.371652,0.232938,-1.21684,-0.992246,2.19645,-0.714701,1.06866,1.57306,0.249595,-0.738981,1.3536,-0.717907,0.820393,0.0929607,-0.0856495,2.38783,-0.588884,1.26379,-0.296255,0.451437,1.09695,-0.126691,0.749952,1.15943,0.774502,-0.586078,0.455512,0.041922,-0.174552,-0.848164,1.52995,-0.990605,-1.13899,0.057503,-0.48005,0.30318,0.846134,1.02076,-0.22296,0.652871,-1.22674,0.121457,-0.751283,0.454118,-0.272674,0.419376,0.865647,0.840137,-0.568168,0.336107,0.402023,-0.063775,-1.53347,0.83347,-0.346566,0.72404,0.427517,-0.882036,1.88168,-0.471661,-0.493643,-0.0058819,0.25892,0.615903,0.556487,-0.279534,-1.46191,0.053663,2.74153,0.554463,-1.06121,-3.34245,-0.180948,0.331371,0.258604,-0.917386,-0.961825,-1.58643,-1.511,-0.0676757,0.441086,-0.562428,1.33378,0.393235,0.415115,1.04281,0.179941,-0.204023,2.00129,-0.807826,0.419612,-0.600817,1.68905,0.617878,-0.510913,0.643741,0.551237,0.0538174,0.110278,0.905926,-0.0536087,0.842247,-0.099674,0.482654,-0.263504,0.247341,0.0958141,1.17992,0.0700189,-1.19926,-1.51878,0.8442,0.241845,-0.0891443,-1.41803,0.621674,-0.427152,-1.092,-0.379238,-0.271372,-0.944464,-0.2666,0.180654,-1.56575,-0.250641,0.411074,0.677952,0.000316515,-0.728626,-0.0681448,0.781454,0.112789,-0.917215,-0.868401,-0.776847,0.887871,-1.30777,0.454188,-0.112858,-0.147623,0.277513,-0.571689,1.65737,0.2385,-0.345599,-1.08107,-0.290217,-1.75209,-2.17685,0.643808,-1.02521,0.774022,0.605135,-0.0305745,-0.59962,1.6389,1.85825,0.705762,0.0874318,0.586092,0.329155,0.91346,0.616191,-0.58294,-0.0203706,0.928711,1.12734,0.423159,-0.591513,-0.890962,0.449676,-1.70265,0.743088,1.76125,0.607016
-637.967,0.978146,0.044051,7,127,0,730.36,-1.30465,-0.585206,0.622857,-0.442873,-0.66442,-0.976815,-1.11899,-1.16015,-0.401704,-2.27145,-0.824876,0.642228,-0.549971,0.722494,0.0287645,0.14538,-0.236067,0.412679,-0.165304,-0.14852,-0.597582,0.361169,0.523231,1.71916,0.828665,0.33293,-1.52101,0.503218,-1.23851,0.360986,0.699138,-0.645762,0.470925,-2.17286,0.926568,0.581516,-1.07633,0.311819,-0.586601,-0.324107,0.914519,0.831283,-1.01044,0.101105,-0.91132,-1.2555,-0.431192,1.61066,-0.135651,-0.526615,-0.840442,-0.879434,-0.684629,0.116947,0.055677,-1.46176,0.153486,-1.20313,0.097119,0.0665557,-1.06978,-1.14106,-0.0540108,0.331516,-0.126797,-0.240752,0.828177,1.94626,-1.46988,-0.475401,0.846389,-0.70151,0.421431,-2.16152,0.0271553,2.22382,-0.524558,0.574592,-1.05763,0.451344,1.13302,1.72726,0.879347,0.0382665,-0.0723036,3.51267,0.473103,-2.27738,-0.117318,0.0301848,-0.192675,1.45272,-0.654829,0.0188094,-0.221543,-2.05775,-0.175428,0.748792,1.08892,-1.24336,0.502182,-0.411854,0.319766,-0.111113,-0.318067,1.33856,-0.670355,-0.70282,0.463248,1.1182,0.385877,1.40685,-0.0536626,-1.40574,-1.37448,-0.975628,-0.902633,-0.717027,-1.62258,0.852107,-0.0208558,1.07374,1.61764,-2.68425,1.1161,-0.766504,0.178492,0.512926,1.1558,-0.283564,0.986556,-0.750403,0.499982,-0.220182,0.536244,1.17282,0.737538,1.42164,-3.22047,0.287399,-0.955426,0.347197,0.789628,-0.544361,0.924222,0.125657,1.05309,1.19573,0.14831,0.437481,-1.12916,-0.142008,1.59644,0.202973,-0.000595252,-1.15342,-0.840589,-0.0410723,-0.398756,0.200642,1.95272,1.57754,-1.14864,1.29466,-0.426602,-0.617618,-0.51435,-0.89185,0.287083,0.0622659,-1.02023,-1.35048,0.878376,0.470034,0.305699,-0.765016,2.6854,-0.934614,-0.58961,-1.69647,0.497243,-0.326046,-0.326193,-0.8129,-0.384718,0.909062,-0.978628,0.111775,-1.00389,1.12639,1.56217,0.974604
-628.039,0.997525,0.044051,7,127,0,730.283,0.0703354,0.317082,0.391111,0.985678,-0.920288,-0.0684954,-0.147613,0.890505,0.325575,0.15559,0.227608,-0.521661,-1.41357,0.688309,0.841904,0.971591,0.732099,-0.875599,0.884303,-1.38125,-0.45252,1.07388,-1.95393,0.614723,2.13568,-0.502799,-0.381424,-0.110523,-0.0476028,0.918515,-0.404884,0.83365,-0.193119,0.0969454,0.898047,-1.26175,-0.938033,1.1406,0.623365,1.13338,1.88439,0.097752,-0.419636,0.176456,0.675891,-0.131134,-0.499182,1.82079,-0.734274,0.0524669,0.165464,-0.40559,1.04516,0.732339,1.79358,-1.09762,-0.493036,0.0607097,0.256211,-1.58722,-0.077483,-1.47599,0.381266,0.251942,-0.219519,0.127983,-0.316868,0.916438,-0.711178,-1.90706,0.394532,-1.13799,1.04527,1.03579,-1.51372,1.42263,-1.11938,-1.29052,-1.43187,-0.739606,0.289206,-0.279025,-0.905171,-1.51713,-0.252713,2.32849,-0.0141133,-1.2981,-1.84437,-0.329864,-0.00144472,0.968441,0.117922,-1.4331,-0.49512,-0.735394,0.970167,0.857686,-1.2872,0.749618,1.29149,-0.00386256,-0.170165,-0.328128,0.158871,0.941498,-0.481548,-0.437759,0.456942,0.177023,0.143592,-1.14497,1.63725,0.246687,-0.466241,0.898169,-1.01834,-1.13069,1.16313,-0.347954,0.768127,1.32649,-0.68507,0.744968,-1.29726,-1.27199,0.463654,0.828521,-0.453242,0.290722,0.515759,0.405182,-0.480667,-1.49101,-1.57134,-1.68876,1.0354,-0.30462,0.368674,-1.37124,-1.60922,0.0541523,-0.177745,-0.0847705,-0.619921,-0.820415,0.539974,-0.290249,-1.5359,-0.127869,-0.192529,-0.532669,1.3342,-1.39816,1.42598,-1.3072,0.257548,0.255343,0.176567,0.234755,-0.600961,-1.57568,0.0178987,0.991759,0.284519,-1.79801,0.955952,0.172371,-0.457317,-1.54497,0.785429,-0.589759,1.44934,1.35091,-1.07416,0.0996667,1.65423,0.0646559,-0.795036,0.357552,-0.0722814,0.877594,-1.09331,2.04145,-0.244579,-0.820139,-1.47069,2.36693,-1.7184,0.488237,1.30908,0.84738
-622.205,0.999139,0.044051,7,127,0,710.317,0.484538,1.54373,0.915294,1.15493,-0.58126,0.654652,-1.07221,-0.256779,-0.257835,-0.441166,-0.645539,-0.517676,-1.78303,0.914757,0.428847,0.739852,-0.209191,-0.335024,-0.447947,-0.944096,-1.13441,1.25651,-0.347001,1.27152,1.07516,-0.292031,-0.429582,0.127763,-0.661112,-0.606987,1.28388,0.626194,0.151425,-3.69526,0.0239673,-1.20769,0.0945112,1.58548,0.131553,0.422982,1.7118,-0.0746875,-0.417577,0.880556,0.146191,0.446346,0.135085,1.54172,-0.518292,-0.133819,-0.0396471,0.00507156,0.339695,0.838508,0.687711,0.0279188,0.713743,0.143786,1.87556,0.0257296,0.0699315,-1.10746,0.727615,-0.760837,-0.733822,0.431825,0.825765,1.87674,-1.68471,-1.19086,0.255149,-0.209284,0.262854,-0.994812,-0.837614,0.830081,-0.237645,-0.482221,-0.90909,0.553083,1.55553,0.648113,-0.411228,0.258816,0.473703,1.84172,0.878976,-2.2177,-1.44287,0.605969,0.753668,1.2975,-0.673328,-2.03904,-0.803877,-1.62885,-0.428519,0.957575,-1.37217,-1.68489,-0.491556,-0.462997,-0.676946,1.7222,0.30406,1.40203,-0.569057,-0.235176,-1.49624,-0.809061,0.34912,-0.497548,0.792571,-1.07848,-0.502594,-1.2304,-0.71312,-0.365203,-1.21826,0.272165,0.948652,1.44243,1.39081,-0.938476,0.552987,0.0985399,-0.173629,0.00105144,-0.383815,-0.318532,-0.238453,-0.883197,1.98025,-0.346463,-0.1656,-1.00435,1.21957,0.834407,-2.43625,0.561107,0.428864,0.340172,-0.146835,-1.70276,-0.6942,0.344217,0.653984,0.493246,-0.465824,-1.09487,-1.57766,-1.21203,2.43698,-0.88833,-0.157076,-0.538763,0.304528,0.228875,-0.741735,1.29171,1.18829,-0.359985,-0.43982,0.761409,-0.654319,1.38794,0.435269,-0.344051,-0.461073,-0.168644,-0.128728,-1.60518,0.339598,-0.52353,0.305259,-1.05457,1.55445,-1.94841,0.697558,0.281238,0.560087,-1.34506,0.645707,-0.31066,0.108756,0.51312,-0.625747,0.799935,-2.76722,0.719816,1.21653,0.712077
