# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_model
# start_datetime = 2025-12-02 02:14:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/standata-7e48598403b.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model-202512012114-4-6daded.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model-profile-202512012114-4-919e92.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.0505103
# Diagonal elements of inverse mass matrix:
# 0.673814, 0.721479, 0.621638, 0.822717, 0.734208, 0.874059, 0.494882, 0.434622, 0.426346, 0.419972, 0.414722, 0.450012, 0.463822, 0.364712, 0.276177, 0.337536, 0.425463, 0.457384, 0.356832, 0.638863, 0.694956, 0.32597, 0.523653, 0.441408, 0.309289, 0.373801, 0.596145, 0.368664, 0.633429, 0.35896, 0.372083, 0.431087, 0.303984, 0.468423, 0.350486, 0.546739, 0.558769, 0.313815, 0.33028, 0.31983, 0.226929, 0.340014, 0.527802, 0.385636, 0.441194, 0.345629, 0.595966, 0.351253, 0.602554, 0.371047, 0.409531, 0.559465, 0.285121, 0.320331, 0.386549, 0.671749, 0.403864, 0.533798, 0.353013, 0.662704, 0.59944, 0.449491, 0.299954, 0.482169, 0.407093, 0.41753, 0.365139, 0.301114, 0.518869, 0.502514, 0.313353, 0.461894, 0.289593, 0.403428, 0.533752, 0.326674, 0.465857, 0.381446, 0.51217, 0.380327, 0.321115, 0.317723, 0.377452, 0.610704, 0.380114, 0.296165, 0.345164, 0.426948, 0.531124, 0.399617, 0.332371, 0.300071, 0.406779, 0.488101, 0.368669, 0.529385, 0.63828, 0.750791, 0.802449, 0.554227, 0.834965, 0.753308, 0.756577, 0.661896, 0.722616, 0.7039, 0.777425, 0.723501, 0.688242, 0.636289, 0.715996, 0.783023, 0.591156, 1.02424, 0.730918, 0.733626, 0.810828, 0.982832, 0.579818, 0.593892, 0.765858, 0.598876, 0.567726, 0.822184, 0.720769, 0.786276, 0.780352, 0.721617, 0.690576, 0.624606, 0.627154, 0.804263, 0.615195, 0.776521, 0.869634, 0.770639, 0.561924, 0.70687, 0.690281, 0.906086, 0.643722, 0.55957, 0.757636, 0.647378, 0.815922, 0.75953, 0.723412, 0.778848, 0.672517, 0.584056, 0.898422, 0.858227, 0.541941, 0.622682, 0.578039, 0.885475, 0.716058, 0.607719, 0.573037, 0.61836, 0.565304, 0.679584, 0.747591, 0.580076, 0.701754, 0.723314, 0.665769, 0.786172, 0.581597, 0.774717, 0.650689, 0.776887, 0.588997, 0.659634, 0.680059, 0.772553, 0.567874, 0.965398, 0.665472, 0.75334, 0.660203, 0.745967, 0.702632, 0.755833, 0.541145, 0.757755, 0.503939, 1.11172, 0.48097, 1.70733, 0.0879229, 0.153625
-648.183,0.984647,0.0505103,6,63,0,743.119,0.785929,-0.980507,0.692039,2.01941,1.25806,0.750805,-1.65606,-0.216452,-0.262197,-0.574923,-1.65038,-0.281279,-1.41863,0.693865,0.441612,-0.0263427,-1.25828,-0.667103,-0.697018,-1.06823,-1.8093,1.21823,-0.779965,0.464943,-0.0488858,-0.508804,-1.33947,0.182099,-1.67782,-0.13199,0.457053,0.18228,0.151281,-1.43088,-0.370619,-1.83623,-2.27012,-0.0857299,-0.707322,-0.321119,1.01997,0.489971,-1.31236,0.70341,-0.160925,0.730632,-0.588836,1.40645,-0.974297,0.233475,0.540559,-0.438195,0.370504,0.622232,2.11656,-0.0249493,-1.66049,0.254807,-0.030768,-0.485214,-0.180417,0.331152,-0.184293,1.28676,0.098155,0.416459,-0.0754019,1.70003,-1.14471,-1.7795,0.239564,-0.608935,-0.145075,0.619421,-0.755152,1.08237,-1.66467,-0.579989,-1.94918,-0.510903,1.25029,0.341327,0.250012,-1.31372,-1.02388,1.89887,-0.0416151,-1.35155,-0.960396,-0.144244,0.21828,0.855504,0.0377764,-1.1665,-1.09326,0.13666,-1.22058,-0.925764,-0.803192,-0.519561,0.249063,-0.389444,0.0659005,1.49977,-0.382785,0.949972,0.911643,-0.197582,0.0139146,1.82617,1.24891,0.142555,-0.394716,0.595297,-0.283859,0.694653,0.825588,-1.393,1.00158,0.374264,1.24552,1.28693,0.448648,-0.591028,-0.966772,-0.87614,0.220126,-0.387419,-0.274725,1.27344,0.636531,-1.51036,0.172042,-1.77514,0.582923,-0.250409,0.333588,1.28651,-0.152107,-0.0769995,-0.536972,0.77843,-0.689503,0.0300986,-0.0211792,-0.589849,-0.167113,0.641691,-0.47911,-0.853407,-0.920795,-1.18876,1.87126,-0.314275,0.174307,-0.819235,0.366093,-0.783643,-1.53118,0.258006,-1.61742,0.186192,0.776758,1.85775,-0.253513,-0.795724,-0.633822,-0.889668,-1.00792,-1.02777,0.679112,-0.451532,0.655688,1.26956,-2.824,0.368383,0.941044,0.168051,-0.465479,2.49745,0.281033,0.770303,-1.29006,0.425972,0.545552,1.29114,0.0572332,0.703635,-2.49164,0.216294,1.56693,0.546092
-642.846,0.976935,0.0505103,6,127,0,737.976,0.551779,-0.949086,0.556085,1.91736,0.999313,0.699519,-1.04765,-0.269868,-0.604914,-0.757137,-1.60447,-0.175106,-1.51048,0.869124,0.512049,-0.248577,-1.22689,-0.701898,-0.747952,-1.25075,-1.65267,1.12895,-0.0859568,0.0874141,-0.0367715,-0.243968,-1.38948,0.0198076,-1.49357,-0.0960212,0.239263,0.0412727,0.250641,-1.24562,-0.228874,-1.74789,-1.98061,0.0180504,-0.834492,-0.399655,0.92848,0.477172,-1.31904,0.641969,-0.228653,0.711265,-0.777638,1.40071,-0.866556,0.268573,0.679671,-0.388882,0.580191,0.607545,2.05852,-0.170082,-1.67106,0.314829,-0.0892846,-0.421175,-0.122757,0.360879,-0.510185,1.15108,0.341451,0.545256,0.170713,1.24478,-1.54385,-1.90276,0.275099,-0.826854,0.0246562,0.543547,-0.509579,1.18385,-1.75616,-0.583245,-1.62536,-0.583302,1.24603,0.324043,0.130892,-1.49289,-0.993359,1.90126,0.0643854,-1.66941,-1.31506,-0.401162,0.26884,0.823328,0.261545,-1.05006,-1.19221,0.0768516,-0.937097,-0.755132,-0.656715,-0.521976,0.59836,-0.189257,0.0554356,1.51285,-0.391375,1.3561,0.566363,-0.0926486,0.0256747,1.81291,1.29619,-0.106042,-0.594086,0.214418,-0.663485,0.845988,1.04191,-1.41441,0.596836,0.208178,1.26584,1.11862,0.080974,-0.969992,-0.75334,-1.03744,-0.344944,-0.606469,-0.45735,1.42277,0.104605,-1.78552,0.265457,-1.38122,0.549372,-0.365976,0.289409,1.32072,-0.268622,0.209403,-0.831083,0.929292,-0.393378,-0.159738,-0.300816,-0.555958,-0.379164,0.760105,-0.745198,-0.940379,-0.968492,-0.66548,2.08032,-0.828027,0.441389,-1.18759,0.190088,-0.819246,-1.43207,0.343094,-1.68001,-0.370923,0.628097,1.84874,-0.272753,-0.617984,-0.784157,-1.25955,-1.49066,-0.848119,1.02752,-0.482925,0.935018,1.00081,-2.2375,-0.125817,0.683858,-0.335104,-0.373246,2.21274,0.359262,0.849675,-1.09626,0.394201,0.317061,1.23741,-0.0823272,0.563658,-2.37804,0.194301,1.33251,0.496632
-648.787,0.998772,0.0505103,6,63,0,732.116,0.664508,-1.12272,0.937412,1.72371,0.843385,1.41884,-0.745422,0.127679,-0.971324,0.0454813,0.0548321,-0.555008,-0.361969,-0.163153,1.03867,1.07628,0.51006,-0.708038,0.446267,-0.628454,-0.59887,0.757005,-1.04887,0.738937,0.929056,-0.473144,-0.539899,-0.48647,-1.14103,-0.620234,0.619379,-0.751781,0.444644,-1.54529,1.02614,-0.665524,-0.172348,1.23381,-0.216663,0.965832,0.912501,0.162601,-0.477013,0.935046,-1.20051,-0.00565941,-0.652232,1.74211,-0.00832232,0.509984,0.313554,-0.165129,0.597506,0.358839,0.0168986,-0.599662,0.936854,-1.6028,1.16642,-0.19089,-0.0560502,-0.311203,-0.408187,-0.580513,-0.458733,-0.0727131,-0.764422,1.33809,-1.72193,-0.463831,0.895516,-0.732287,1.471,-0.725128,-1.23553,2.06578,-1.49382,0.392474,-3.06969,-0.143118,1.15488,1.68305,-0.483784,-0.370324,-0.293016,1.71365,-1.71064,-0.799136,-0.149558,0.4065,-0.900144,-0.190899,-0.811465,-0.271903,-1.14786,-1.49436,0.966495,-0.818717,-0.0896768,-0.697164,2.04177,-0.682277,-0.68738,0.00776809,0.894548,0.424186,0.188423,0.206734,-1.212,0.661126,0.538509,0.763854,1.11731,-1.21049,0.430896,1.53657,0.103805,-1.05503,0.0498836,1.7893,-1.11248,1.25306,-0.281626,-0.0594935,0.846128,-2.1282,0.986097,0.068006,1.25894,0.123791,0.00176891,0.213235,0.275979,0.213143,-1.36014,0.462077,1.04884,1.26372,1.97542,-2.00535,-0.202531,0.63012,-1.43307,-1.15928,-1.57831,1.08861,0.79192,1.02244,-0.903353,-0.4657,-0.161136,-0.23103,2.3492,-0.186935,0.922794,-0.0946222,1.67139,-0.183018,-0.919501,-0.0213294,0.569202,-0.711222,0.143009,0.572208,-0.246002,-0.884682,0.331593,-0.447151,0.514057,-0.504516,0.438357,-2.16065,0.486177,1.43586,-0.988272,0.517962,1.25531,-1.47015,2.55098,-0.107491,-1.10476,-0.165297,-0.985796,1.44057,0.0874981,1.18724,-1.06584,0.290251,-1.58153,0.0376897,1.74945,0.832945
-645.495,0.994856,0.0505103,6,63,0,740.731,-0.510511,0.855137,-0.844749,-1.09389,-1.14203,-1.36039,-0.543513,-0.846923,0.433391,-1.18773,-0.567924,0.106711,-0.86152,1.39514,0.24156,0.403243,-0.338342,0.303437,0.704158,-0.970261,-1.70615,1.7388,-0.263799,0.764909,1.26514,0.247849,-0.88365,0.551505,-1.04557,0.727484,0.353562,-0.288238,0.31356,-0.533573,-0.327937,-1.17772,-1.95064,0.991983,-0.0642504,0.224369,1.96674,0.391822,-1.21006,-0.158399,0.660269,-0.0391712,-0.481603,1.33083,-1.72551,-0.530876,-0.402452,-1.3486,0.546447,0.77749,1.49364,-0.691253,-0.718391,0.062411,-0.396632,-1.93583,-1.94923,-0.733614,-0.293599,1.01081,0.176817,-0.563295,1.77042,1.72528,-0.378579,-1.50252,0.376978,-1.28605,0.984517,0.492176,-0.545325,0.872368,0.317204,-1.73218,-0.213547,0.619678,1.63176,0.891082,-0.56449,-1.21703,-0.521834,2.83657,1.34842,-1.93536,-0.992325,0.47929,1.21838,2.01914,0.655432,-2.31058,0.497903,0.0787526,-0.363491,2.14246,-0.369961,0.444877,-0.373501,0.085618,-0.0845744,1.04254,-0.793114,1.32406,-0.678784,-0.748695,1.54714,0.932849,0.240356,-0.135793,0.39484,-0.152522,-2.05765,-1.99024,-1.97122,-0.268359,-0.546281,-0.972982,2.03912,1.18979,0.791354,-1.77153,-0.0166371,0.706343,-0.794228,-0.237555,-0.664068,-1.14075,1.89214,-0.970288,0.960955,-2.4436,-0.455537,-2.10276,1.20676,0.143904,-1.69375,0.920628,0.471422,-0.424377,0.257659,0.465355,1.24374,-1.30887,0.176451,0.53523,-0.10743,0.540143,-0.897445,-0.662642,1.953,-0.749963,0.689656,-1.1954,-0.856934,0.480168,-0.080007,1.15984,0.932041,0.575239,-0.0106913,-0.260775,-0.508168,0.105685,-0.183459,-0.498168,-0.719806,-0.235311,0.670856,0.243216,0.0207958,-0.400356,-0.255038,-1.44473,1.59801,-0.111341,-2.98848,-0.235752,1.34168,-1.4536,0.233921,-1.06269,0.637741,-1.63662,0.565177,0.188144,-2.11614,0.408289,0.960008,0.562056
-654.894,0.99681,0.0505103,6,63,0,751.89,-1.18671,-0.648387,0.014712,1.31978,-0.705902,-1.11894,-2.16334,-1.09567,-0.641023,-0.650518,-0.719743,-0.248667,-0.0268734,0.889267,0.85413,0.913646,0.304614,-0.406749,-0.739691,-0.226402,-1.09196,1.87046,-0.899656,0.574608,0.408135,-0.109381,-0.870724,0.159585,-1.45813,0.337403,1.30604,0.231521,-0.133753,-1.41563,0.939444,-0.570888,-1.45175,1.03632,-0.524269,0.956983,1.66936,0.273741,-0.130957,0.180438,-0.534045,0.793504,-0.112122,1.34656,-0.88806,-0.350432,1.16767,-1.92315,-0.127542,-0.12616,0.58566,-0.103364,-0.454961,0.0145562,-0.41263,-1.33525,-0.727539,0.462611,0.0835612,-0.478613,0.525925,0.235499,1.16746,1.91095,1.00729,-2.07368,0.952336,-0.571303,1.65429,1.18723,-0.66895,1.9949,-0.72253,-1.67075,-0.273669,0.474819,1.22432,1.06017,-0.249252,-1.73839,-0.582886,2.86152,0.153361,-1.62626,-0.717828,-0.0191532,0.225329,1.54625,0.278254,-1.038,0.652007,0.1404,1.52552,0.0616632,0.742264,-0.491549,-0.35468,-0.623885,-0.672342,1.09662,-2.28463,2.67143,-1.26057,0.858799,0.464519,-0.288462,-1.69437,-1.12992,1.6043,-0.0995347,-1.39815,-1.43916,-0.914167,-1.727,0.066766,-0.380833,0.665272,0.940163,0.115668,-1.31988,0.351774,0.629109,-0.0193893,1.36322,-0.492999,0.175393,1.48537,-0.992093,1.44499,-2.40874,-1.22547,-2.54267,0.917482,0.785376,-1.65272,-2.21114,-0.235897,0.639918,-2.11076,-1.20342,0.196431,-0.764153,1.29475,-0.441568,-0.378436,1.48428,-1.8328,0.395543,1.84144,0.949081,1.14978,-0.570138,-0.724063,0.915704,0.0793892,-0.717102,0.58305,-1.81865,1.57041,-0.57763,-0.773279,-0.780968,-0.241985,-3.36898,-0.53518,-1.12932,0.171102,-0.977809,0.745008,0.207627,-1.20738,-0.911344,1.28671,-0.210276,-2.4458,-0.831178,-0.282502,-1.18543,1.36691,-0.508009,-0.312408,-0.0288967,-0.0441001,0.485009,-2.21261,0.36174,1.33703,0.788163
-678.613,0.949891,0.0505103,6,127,0,771.976,-0.773415,-0.864938,0.579856,1.33748,-0.618826,-0.229106,-2.37679,-0.847329,0.368761,-1.29797,-0.561142,-0.957355,-1.65157,0.470673,-0.438405,-0.298392,-0.781082,-1.69191,1.43217,-0.893048,-0.916117,-0.105757,0.0777782,1.53948,1.40357,-0.785713,-0.816429,0.0935609,-1.4199,-0.453476,-0.60379,-0.845709,0.724674,-1.2083,0.405732,-1.11425,-0.340174,0.956313,0.610308,-0.0213906,1.95551,0.802661,-1.77064,0.770915,-0.0155267,-0.0505802,-1.65614,2.08033,-2.12637,-0.807315,-1.23366,0.780546,1.21705,1.82055,1.53506,-2.36248,0.832747,-1.14386,2.36494,0.319594,-1.01939,-3.87353,1.17009,1.60882,-0.340804,-0.471808,0.040686,1.23309,-2.01814,-0.0589876,-0.0970804,-0.978404,0.262425,-1.42757,-1.29763,0.817917,-0.187955,0.268769,-1.36985,0.231611,1.24071,1.48982,0.484587,0.151965,0.503887,2.54331,-0.381063,-0.837242,-0.460045,0.668626,-0.0310747,0.776043,-0.143381,-0.127831,-0.0277709,-1.16975,0.381721,0.361587,-0.592967,-0.759444,1.85332,0.0513626,-0.912394,-1.15006,0.983105,-0.159544,0.307269,-2.41622,-0.995022,0.518491,1.92361,2.28475,-0.842018,-1.22896,0.338211,0.197965,-0.282232,-0.320284,-0.246486,-0.38046,0.266502,0.141757,-0.248802,-0.679686,-0.0280094,-0.963142,-0.0809851,-0.447691,0.967765,0.178685,-0.46808,0.587653,-1.78598,2.87885,-0.012702,0.09557,1.33027,0.536798,0.145907,0.564247,-0.347229,-1.25191,0.779693,0.489174,-0.67221,0.547058,-0.942514,1.59567,-0.164526,-0.29185,1.14527,-1.69079,1.34814,-1.24563,-0.48403,-0.781067,1.91937,-1.23505,-0.889325,2.29599,0.246355,0.716811,-1.52487,1.13688,0.991428,0.292521,0.0984863,-0.188713,0.732473,0.914964,0.119889,-1.44314,0.133267,0.430362,-0.283795,1.00995,1.99801,-1.21031,1.7013,-0.0530378,0.646543,-0.150751,-1.2381,0.589019,1.19654,-0.902078,-1.30248,0.264858,-0.872374,0.842161,1.70811,0.775707
