# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_bodymass_model
# start_datetime = 2025-12-02 02:51:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.98
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/standata-7e48227376d6.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model_bodymass-202512012151-1-172d3f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model_bodymass-profile-202512012151-1-2cca81.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_bodymass_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_z.1,b_z.2,b_z.3,mu_b,sigma_b,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.0364732
# Diagonal elements of inverse mass matrix:
# 0.894459, 0.713003, 0.751432, 0.343282, 1.47834, 0.741, 0.623757, 0.588989, 0.737715, 0.905828, 0.706048, 0.352316, 0.393646, 0.305722, 0.444721, 0.292496, 0.301787, 0.371517, 0.345803, 0.303986, 0.305063, 0.328543, 0.430375, 0.390441, 0.381852, 0.373, 0.285358, 0.320805, 0.355351, 0.423927, 0.35517, 0.302469, 0.297373, 0.325356, 0.247778, 0.432348, 0.374188, 0.344241, 0.234965, 0.372141, 0.387509, 0.347878, 0.327207, 0.247762, 0.31341, 0.241843, 0.311402, 0.237789, 0.246905, 0.27222, 0.332714, 0.217024, 0.269658, 0.320706, 0.311354, 0.307767, 0.202131, 0.221143, 0.292208, 0.316249, 0.296395, 0.276841, 0.314561, 0.341999, 0.230725, 0.232241, 0.2758, 0.312134, 0.240855, 0.37306, 0.453411, 0.302744, 0.304099, 0.241504, 0.447186, 0.41902, 0.365513, 0.31944, 0.433318, 0.293707, 0.341255, 0.299896, 0.35026, 0.469261, 0.285621, 0.284497, 0.330094, 0.291187, 0.323401, 0.351181, 0.279906, 0.333566, 0.351813, 0.296287, 0.27303, 0.322051, 0.345005, 0.41885, 0.300217, 0.294552, 0.305109, 0.650888, 0.614761, 0.601769, 0.595613, 0.631179, 0.619179, 0.540178, 0.732222, 0.577542, 0.665473, 0.602389, 0.557928, 0.629329, 0.549053, 0.518937, 0.707039, 0.574392, 0.846794, 0.530431, 0.70959, 0.537548, 0.86148, 0.629707, 0.558143, 0.679565, 0.639892, 0.615793, 0.695212, 0.745558, 0.657129, 0.633115, 0.454106, 0.598827, 0.455427, 0.519609, 0.536271, 0.528814, 0.596896, 0.534737, 0.677617, 0.597985, 0.547785, 0.645039, 0.522124, 0.571564, 0.527365, 0.538727, 0.55961, 0.620021, 0.627942, 0.567201, 0.437963, 0.56556, 0.556648, 0.702201, 0.682212, 0.635286, 0.427822, 0.61486, 0.555911, 0.55006, 0.58298, 0.569418, 0.635144, 0.661651, 0.449293, 0.670151, 0.621448, 0.668968, 0.623111, 0.531477, 0.661242, 0.806475, 0.637069, 0.711863, 0.592209, 0.564545, 0.525435, 0.492493, 0.57166, 0.480119, 0.61661, 0.77033, 0.635202, 0.587266, 0.599129, 0.654697, 0.576467, 0.688312, 0.507672, 0.184258, 1.38318, 0.437204, 1.38963, 0.0533888, 0.104598
-1001.34,0.934201,0.0364732,7,127,0,1113.1,1.15848,-0.93801,-0.27608,-0.0823595,0.215737,1.17807,2.42847,1.80075,0.520313,-0.286765,-0.627797,-0.392904,-0.10526,-2.12714,-0.103876,0.143596,1.28678,1.95278,1.43203,0.307147,1.51843,1.0563,-2.03753,-0.764753,-0.769563,0.175422,0.619846,-0.972045,1.12159,-1.22786,-1.8169,-1.29698,0.665375,0.710222,0.47285,-0.1687,1.72574,-0.68687,-0.0464677,-0.735825,-0.991002,1.67462,1.07635,0.542181,2.80539,1.08199,1.10482,-0.492482,1.59383,-0.64805,-1.74058,0.157247,0.0471259,-0.805092,-0.367001,1.98891,-0.396762,0.334325,0.786947,-0.914314,-0.559541,0.85293,0.693893,0.0882146,-1.33841,-0.481622,-0.456745,1.48111,-0.174966,1.32622,-2.92239,0.891743,-1.61918,1.18209,-0.187827,-0.94384,0.138785,0.145059,-0.0825574,1.50404,0.750433,0.426794,0.23119,-2.11248,0.61459,0.0171762,0.106206,1.07672,-0.886876,-0.762622,0.253177,1.22566,1.57239,-0.157265,0.954024,0.877051,-0.987218,-1.58797,0.237831,1.96189,0.183395,0.934817,0.353135,-0.365261,-1.69132,-0.978007,-0.090447,-0.476601,-1.24768,0.217123,-0.627124,-1.61761,0.502697,1.00503,0.619095,1.44749,-1.12884,1.61893,-0.476125,0.203402,0.538363,-0.27229,0.02244,-0.775593,-0.172161,-1.4048,0.106011,0.515914,-0.350052,-0.159144,-0.170751,1.08996,1.61164,0.201678,0.666551,-0.552367,-1.51277,-0.508459,-1.40908,0.24881,-0.565164,0.482663,0.0614006,0.31597,-0.401219,-0.776555,0.70464,2.3244,0.243028,-0.444752,-1.60753,0.601849,0.167064,1.01481,0.373521,-1.90804,-0.480449,-0.601397,0.257347,1.84195,-0.879433,0.124871,0.411935,0.0757885,-0.446517,1.73688,1.75329,-0.595983,-0.407881,0.806859,-1.08031,0.961444,0.641816,-0.186158,-0.474761,-0.584641,1.45603,0.00999991,-0.0942582,0.528035,-0.0566802,-1.48331,-0.927494,0.299667,0.424183,-1.38234,-0.453871,1.7635,0.140355,-0.391939,0.475258,-1.90801,0.545719,-0.5714,0.382195,1.59117,0.9366
-982.076,0.986073,0.0364732,7,127,0,1092.69,-0.721027,-0.142392,-0.248301,0.0856464,0.528697,-1.08038,0.748394,0.197685,0.872705,0.0680098,-0.442317,0.685526,0.730487,-0.610297,-2.10609,0.587365,0.503226,-1.08111,0.918877,-0.299176,0.0934674,0.769664,-0.341973,-0.269788,-0.976971,0.76337,0.364182,0.0908588,-1.01812,-0.00447737,-0.0349576,-0.18958,-0.0750613,0.80812,1.05869,-1.24581,1.6119,-1.39391,0.22615,-0.862126,-0.363341,1.0449,0.995214,0.314556,0.706385,0.243541,0.180238,-0.210181,1.85991,-1.13285,-0.796944,-0.965567,-0.667257,-0.322005,-1.03605,2.49338,0.50357,-0.0901851,-1.15581,-0.736094,-0.909823,1.23022,1.60548,-1.20689,0.137599,-0.745634,-0.590511,0.575234,-0.241985,0.435545,-0.491373,0.262448,-0.930693,-0.902389,-1.88468,-1.55191,0.0866262,-1.02469,-2.06598,1.45655,-1.60932,0.101373,1.95711,-0.0757616,0.541876,1.15269,0.5207,1.33707,-0.563649,-0.23577,0.761828,1.8532,1.07687,-0.0535896,0.844157,0.417376,0.250006,-0.211006,0.805806,1.32726,-0.718113,0.273562,0.115227,-1.00252,-0.588909,0.353552,-1.21939,-0.0867283,-1.45851,0.727028,0.0611801,0.948768,0.308616,-0.359958,0.799441,1.48044,0.147562,-1.0132,-1.40065,0.4932,-0.71709,1.56706,-1.37485,-1.464,1.67512,-0.384957,1.26503,1.07953,-0.777044,0.447313,-0.228813,-0.670802,-0.384211,-1.42695,1.11866,-0.292204,-0.621851,0.315298,0.248627,-0.280854,-0.538538,1.5144,0.381947,-0.62681,-0.0265443,0.189988,0.158839,1.65848,-0.209723,-0.519403,-0.0365314,-1.0719,0.119921,-0.996028,0.319812,-0.754779,-1.9564,-0.838304,2.29173,-0.107078,0.454279,1.52438,0.814724,-0.764638,0.548439,0.283436,1.11036,0.0176474,-0.353888,-0.895153,1.16447,-0.0586606,-1.12379,-1.6153,0.109301,-2.23672,1.4877,1.33224,-0.60206,0.0709045,1.4385,0.0245253,0.576133,-0.338715,-0.924625,1.32986,-1.27484,-0.0413442,0.465863,-0.686693,-0.518423,-0.662997,0.54413,-0.956581,1.0037,1.76463,1.02454
-975.699,0.990059,0.0364732,7,127,0,1072.37,1.87032,0.630365,0.260278,0.943862,0.437946,-0.506551,0.504585,0.298688,-1.0331,-0.270036,-0.649096,-0.52696,-0.527205,-0.90987,-1.04984,0.928103,1.16388,3.45174,0.792675,0.0653285,0.870041,1.30354,-1.62394,-2.19767,-0.205474,1.25154,0.204638,0.272031,-0.159364,0.388159,-1.47346,0.381957,0.598811,1.29348,0.476396,-1.14101,1.31578,1.04663,0.69564,-1.86873,-0.633475,0.93904,1.05101,0.149902,0.454699,0.0257285,0.376624,-0.943043,0.46232,-1.56085,-1.13958,-0.670813,-1.04503,-0.409821,-1.08233,1.8281,-0.310809,-0.950691,-0.461636,-0.813195,-1.43136,0.844098,0.995762,-0.640392,-0.883811,-0.0998492,-0.90881,2.49654,-0.154032,0.233359,-1.59576,0.408225,-0.446446,0.0198327,-0.34015,-0.270823,-0.143586,-0.858196,-1.79916,1.43958,0.347491,0.46631,0.945131,-2.19934,0.478482,0.248554,-0.461505,0.979186,-0.519202,-0.987816,0.719325,1.64713,1.33628,0.0791016,0.350233,-0.0638131,-0.752283,-1.91241,0.379234,1.79467,-0.0687123,1.99586,-0.485274,-0.379006,-1.61952,-0.911608,1.31399,0.71499,-0.904342,0.834451,0.763348,-1.029,0.153303,0.315866,1.39628,-1.19645,-1.2343,1.59773,-1.31656,1.45912,-0.316754,-0.66771,2.14184,0.663989,1.01469,-0.201478,-1.64177,0.119102,-0.727144,-1.23901,-1.08232,1.027,0.941504,-0.110229,0.375567,-1.38406,-0.91579,-0.984975,-0.300959,0.836233,-1.29801,1.31733,-1.02717,0.342283,-0.195156,-0.94958,0.930144,2.14733,-1.09347,1.49178,-0.619412,0.659095,-0.0882972,0.0461333,0.609598,-1.42668,-0.70139,-0.145261,0.435534,1.91603,-0.364066,-1.70045,-0.492616,-0.461647,0.49762,-0.834955,1.97707,0.643714,-0.739476,-0.223367,-2.04286,-0.288257,-1.14322,0.502776,0.158415,-0.986099,0.74959,0.250101,-0.652178,1.5966,-0.254342,0.0506953,-0.698247,0.831312,-0.607775,-0.0608551,0.598415,1.5116,1.03478,-0.890367,0.143844,-0.64555,0.545295,-1.01542,1.86845,2.29586,1.07909
-980.092,0.996319,0.0364732,7,127,0,1063.07,-2.22836,-0.181551,-0.788758,0.432276,0.118279,-0.719436,0.234214,-0.420675,1.3746,0.13528,-0.281979,0.177386,-0.385583,0.103092,-1.26887,0.569332,1.89511,-0.41956,1.7452,-0.408599,1.32411,0.000689643,-1.01222,0.780332,-0.760859,-0.133559,1.24563,-0.0289761,-0.285956,-1.14169,0.242132,-0.256457,1.14313,-0.312772,1.05946,-0.972145,0.502318,-1.35136,0.857418,0.128541,-0.459263,1.18296,1.27326,-0.0966369,1.53908,0.250448,0.191414,-0.313513,1.13583,-0.36744,-1.33702,-0.337671,-0.0418368,-1.14028,-0.720625,1.24514,0.115655,0.257759,0.0372692,-0.773756,-0.421381,0.0973694,0.843513,-1.10702,-0.358493,-0.46419,-0.780182,0.203904,-0.777142,0.774723,-0.795297,1.52672,-0.726305,0.147965,-3.41953,-1.84859,0.27159,-0.12852,-0.624123,1.45323,-1.41928,0.490126,1.48039,-0.605972,0.701787,0.876789,0.868623,1.82109,-0.522095,0.152592,0.878648,1.94611,0.754972,-0.638982,0.306437,0.871022,-0.117805,-0.52111,0.333137,1.8713,0.196566,1.81963,0.208266,-0.73443,-1.28385,-0.455831,-0.58944,-0.731726,-1.66314,-0.0541348,-0.31665,-0.131238,0.937731,-0.929439,0.407139,1.51667,-0.917916,-0.253773,-0.840149,-0.0769873,-1.11816,0.747901,-2.51485,-0.799339,1.1515,-1.07425,1.19461,0.850048,-1.10502,-0.416167,0.000955152,0.445752,0.193038,-0.883694,0.124589,1.4214,-0.652685,0.375359,-1.54416,-0.026211,0.0194125,0.260512,1.65195,-0.285525,0.394699,-0.269001,0.377128,1.37774,1.40268,-0.602394,0.0154208,-0.105552,0.63514,-0.180183,0.205246,-1.3217,-0.295853,-1.41982,2.05125,1.44903,-0.0946525,2.4497,1.58091,-0.145995,-0.00830398,0.154423,0.666497,-0.98717,-1.0588,-1.24328,1.14802,0.669158,-0.502628,-1.49327,-0.798762,-1.58481,1.0357,0.71095,0.152611,-0.203492,2.16215,-1.09932,0.916918,-0.248239,0.106422,0.112595,-0.927512,0.261859,-0.763015,-0.425892,-0.713866,-0.538309,0.828409,-1.36433,0.622407,2.06308,1.11542
-1003.34,0.990016,0.0364732,7,127,0,1093.87,2.05107,0.019059,1.73518,-0.153347,0.282529,-0.664577,-0.0765662,-0.467614,-0.374936,0.241559,-0.366858,0.122397,-0.000224706,-0.760539,-1.74929,0.52544,1.04034,1.72768,2.07841,-0.0396349,-0.0651583,1.66179,-0.949857,-1.32503,0.181697,2.38346,-0.328216,0.0575226,0.498055,0.257676,-0.858103,-0.159702,2.20431,1.43561,0.711514,-1.2276,1.70989,-0.193175,-0.131199,-0.933186,-1.08759,1.26437,0.781705,0.969058,1.48774,0.544032,0.907239,-0.693959,0.474832,-1.58408,-0.515073,-0.99336,-1.05128,-0.794837,-1.08417,1.41515,-0.55195,-0.597577,-0.640697,-1.20209,-1.63388,0.933043,1.20487,-0.744735,-1.01966,-0.431789,-0.491656,2.34732,-0.58777,0.818154,-2.20321,-0.680009,-0.946959,-0.102592,1.57741,-0.379956,0.693041,-0.955485,-1.53635,1.32787,-0.00966731,-0.0641003,0.773427,-1.6746,0.609923,-0.159044,-0.418796,0.717263,-0.623432,-1.3252,1.43911,2.9395,2.03252,-0.291456,0.798283,0.373024,-1.16034,-1.54843,-0.110739,2.11744,-0.793959,0.262632,0.0999423,-0.384625,-1.94091,-0.975471,1.41463,-0.341073,-0.0407107,-0.143987,0.77029,0.625557,0.98625,0.179725,0.864281,-0.608984,-0.645999,-0.00162025,-1.44502,0.905088,-0.355534,1.5593,1.17105,-0.64654,-0.215777,-1.01771,-2.02552,-0.152481,-0.107686,0.0428485,-0.165049,0.754989,0.379554,-1.1505,0.262285,-1.306,-1.43106,-0.890361,0.157186,0.24532,-2.26875,0.928159,-1.44304,0.603684,-1.1419,-0.708178,0.835982,2.3625,-1.16757,0.0974305,-0.898427,0.197058,-0.0768168,-0.295973,0.856969,-2.30114,-1.14175,0.0704841,0.193168,1.44126,0.321343,-2.4097,-0.73789,-1.15216,0.128987,-1.23418,2.28179,-0.0222436,-1.17359,0.688454,-1.30541,-0.510558,-1.85685,0.935852,-0.718618,-0.139608,1.00724,0.564908,-0.802191,1.49262,-0.730598,-0.383906,0.76763,0.912498,-1.03977,0.317709,1.382,1.56147,0.230495,-1.21228,0.639909,-0.341527,1.54223,-0.0985375,0.385434,1.90768,1.15946
-1019.24,0.980673,0.0364732,7,127,0,1116.76,-1.27501,-0.862504,-0.927935,0.999028,0.0876664,-0.757895,1.8437,0.168623,1.36507,-1.09889,0.468233,0.110712,-0.514069,-1.23638,-0.609452,0.508619,0.581113,1.43077,1.54149,-0.515818,1.22747,-0.501951,-0.732818,-1.24765,-1.71497,1.07425,1.60038,-1.17824,-0.362699,-0.708509,-0.414997,0.0425665,-0.530059,-0.621604,0.266366,-1.16727,0.430274,0.280136,1.32813,-1.1197,-1.40275,0.73694,0.545344,0.789397,1.82791,0.699627,0.856104,-0.626144,0.322585,-0.947913,-0.1075,0.131984,-0.634685,-0.470069,-2.01825,1.49573,-0.50619,-0.245251,-0.36415,0.00822574,-1.49208,0.207197,1.95975,-0.381125,-0.429749,0.134552,-0.252567,1.18471,-0.769443,0.599105,-2.20035,2.41615,-0.840022,-1.01474,-4.3603,-1.68429,-0.439696,-1.47272,-0.582006,0.580763,-0.954907,-0.542012,1.66724,-1.17338,-0.16699,0.235021,-0.46177,0.974885,-0.542249,-0.716384,-0.181618,0.411656,-0.110951,-1.07887,1.39141,0.272229,0.484827,-1.88626,0.349243,0.589163,-0.199557,1.25174,-0.930738,-0.660228,0.370073,-0.279808,-0.665929,-0.300649,-0.898499,1.86709,0.962113,-1.49399,1.54713,0.0241071,1.42026,0.678834,0.0776282,0.434051,-0.758506,-0.337646,-1.22051,1.05666,-1.13669,0.670323,0.574045,0.886638,2.32381,0.625117,-0.657175,-1.77295,-0.0459646,-0.485389,-0.492263,-1.41899,0.66534,-0.027168,-1.68512,0.0619874,0.102661,0.222804,0.282014,1.54506,0.817358,1.00765,1.82715,-0.410468,1.23335,1.88469,0.131808,0.0279065,-0.971306,-0.370455,-0.237905,-0.15857,1.11414,-1.71439,-2.3371,-0.848462,0.973213,1.02894,1.49097,1.8525,0.977151,1.39769,-1.00377,-0.289481,2.07452,0.962414,0.460415,-0.20282,0.481306,0.685,-0.293082,-2.27903,0.293537,-2.02312,0.343621,0.115537,-0.178841,0.14322,1.48613,-0.437844,-0.100274,0.360535,-0.219434,0.159205,-1.86999,0.289474,0.301917,-0.586888,-0.384257,-0.840483,0.615252,-1.58887,0.818278,1.67688,1.16619
