# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_bodymass_model
# start_datetime = 2025-12-02 02:51:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.98
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/standata-7e48227376d6.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model_bodymass-202512012151-3-172d3f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpSuVHd5/detection_model_bodymass-profile-202512012151-3-2cca81.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_bodymass_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_z.1,b_z.2,b_z.3,mu_b,sigma_b,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.0319159
# Diagonal elements of inverse mass matrix:
# 0.770616, 0.842415, 0.754231, 0.307118, 1.56392, 0.705883, 0.552574, 0.62012, 0.884, 0.717316, 0.782591, 0.343326, 0.297996, 0.329037, 0.598617, 0.343421, 0.328354, 0.312564, 0.317084, 0.289399, 0.21998, 0.338393, 0.437914, 0.33971, 0.431682, 0.309198, 0.414562, 0.345129, 0.302828, 0.298673, 0.405414, 0.337671, 0.306679, 0.24235, 0.296001, 0.486735, 0.378023, 0.372482, 0.297726, 0.41704, 0.327021, 0.419974, 0.33581, 0.302509, 0.329136, 0.335849, 0.244713, 0.273696, 0.264018, 0.270359, 0.377946, 0.308109, 0.305455, 0.280742, 0.303635, 0.287968, 0.22018, 0.259907, 0.242428, 0.343802, 0.328154, 0.278609, 0.371762, 0.380851, 0.341797, 0.239079, 0.324388, 0.284731, 0.290117, 0.326717, 0.408142, 0.279996, 0.435854, 0.270901, 0.467855, 0.404884, 0.312892, 0.302689, 0.521408, 0.319771, 0.40618, 0.269514, 0.337814, 0.487166, 0.286887, 0.253791, 0.238436, 0.330764, 0.32176, 0.3284, 0.351152, 0.323157, 0.328972, 0.263901, 0.266899, 0.323766, 0.329695, 0.388357, 0.242995, 0.374893, 0.289122, 0.579951, 0.523214, 0.62841, 0.671152, 0.680474, 0.58978, 0.434618, 0.719994, 0.528599, 0.562113, 0.68137, 0.574129, 0.575292, 0.53426, 0.585338, 0.756296, 0.584029, 0.658247, 0.497218, 0.680194, 0.571033, 0.747755, 0.651304, 0.678348, 0.724776, 0.744873, 0.608948, 0.688016, 0.831191, 0.653603, 0.535135, 0.498604, 0.657579, 0.498233, 0.588109, 0.605925, 0.633263, 0.617387, 0.751619, 0.666034, 0.526623, 0.513424, 0.692499, 0.489728, 0.493557, 0.510176, 0.590235, 0.541509, 0.582653, 0.59574, 0.594976, 0.558248, 0.640955, 0.4554, 0.762198, 0.701119, 0.607317, 0.562645, 0.565041, 0.508412, 0.537303, 0.557022, 0.729609, 0.475276, 0.567093, 0.410034, 0.697666, 0.517508, 0.536203, 0.532347, 0.538243, 0.749837, 0.74416, 0.64091, 0.800248, 0.529382, 0.486375, 0.54435, 0.443607, 0.600967, 0.611766, 0.555301, 0.574697, 0.513788, 0.550127, 0.586796, 0.494239, 0.604157, 0.677579, 0.669979, 0.229222, 0.970458, 0.44467, 1.67413, 0.0478584, 0.0857127
-997.344,0.996469,0.0319159,7,127,0,1099.16,-1.83903,-0.516519,0.746684,-0.897989,0.318067,0.657951,3.0757,-0.983856,-0.29013,-1.08378,0.520681,0.133461,0.0580629,-1.23602,-1.43774,0.18037,1.37614,0.954941,1.43765,0.743087,0.397576,-0.250761,-0.354931,-1.51091,-0.182893,0.800318,-0.549331,-0.651024,-0.225822,-0.828915,-0.798741,-1.38641,0.577748,0.245855,0.916191,-0.818466,1.84039,-1.22441,0.0269349,-0.0472801,-0.941458,0.877955,1.84152,1.23429,0.883954,0.873621,0.850868,0.39409,0.296325,-1.4182,-0.57658,0.730919,-0.623236,-1.02314,-0.364243,2.16242,0.234364,0.113063,1.06008,-0.58463,-0.45411,0.628859,1.71654,-1.78079,-0.157992,0.0392106,-0.829631,2.63219,-0.112362,1.77967,-0.849982,0.502533,-0.334224,-0.266842,-1.86048,-2.24504,-0.20555,-0.8649,-1.40243,0.730734,-0.252763,0.653165,0.830961,-0.389555,0.369847,0.512006,-0.0808102,1.26504,-0.631312,-1.28146,-0.662467,0.830103,1.45129,-0.646826,0.388291,0.32635,-0.157587,-1.32653,-0.641515,2.18329,-0.692729,2.38882,0.182511,-1.0082,0.623225,0.301928,-0.0204687,1.12194,-2.38804,0.193328,1.46356,0.0489774,1.24784,1.0965,0.468957,0.64332,-1.68923,0.547798,0.178259,1.47695,-1.31696,0.572846,-0.278413,-1.0517,1.3216,-0.977966,-0.19976,1.30208,-0.192005,-1.33075,0.0798344,1.30051,-0.494219,0.676807,0.590024,0.460738,-1.63225,-0.163813,-0.70803,0.427309,-0.217571,0.28408,1.32491,0.977822,-0.0166566,-0.227664,1.32134,1.71446,-1.42011,0.442462,-1.29433,-0.24751,0.31689,0.748899,1.09903,-0.792149,-0.0712697,-1.662,1.67731,2.47132,0.00265822,-0.546252,-0.24403,-0.405952,0.526592,-1.47521,2.65009,0.240078,-0.561956,-0.0338326,-0.958968,0.226681,-2.76811,-1.01146,-0.0772903,-0.846472,2.29669,0.688566,0.70548,0.787079,-0.0940591,0.581776,-0.442946,0.485057,-0.701333,0.0311261,-1.25913,1.2982,0.352098,-0.417017,0.24309,-0.279154,0.0355498,-0.380377,0.225144,1.68802,0.985689
-982.158,0.999729,0.0319159,7,127,0,1084.96,2.88149,0.405746,-0.0657742,0.0625894,0.0529236,-2.24889,0.401542,2.69557,0.889061,1.07262,-0.581074,-0.828619,-1.14819,-0.233613,-0.828518,1.30208,0.937377,0.532069,1.0305,-1.17007,0.55737,0.90898,-1.54702,0.380077,-0.491492,0.613851,1.83232,0.409339,-0.831835,-0.957792,-1.19214,0.60713,0.39196,1.47428,0.40463,-1.39347,0.635325,-0.0964738,0.381477,-0.449362,-0.108082,2.27133,1.35277,0.316318,1.48565,0.416062,1.05157,-0.989856,1.2849,0.00709408,-0.774406,-1.22406,-0.461773,-0.97063,-1.02075,2.33502,0.144056,0.373693,-1.07273,-1.30796,-0.891846,0.752025,1.43951,-0.162963,-0.96035,-0.290857,0.0981296,1.11833,-0.640698,0.522155,-1.4964,-0.328424,-0.878581,-0.103202,-0.815879,-1.35314,-0.00910915,-0.924965,-1.55537,1.75048,-0.961751,0.0050656,0.230214,-1.63013,0.81285,-0.00496661,0.276116,0.589002,-0.864406,0.164689,1.16619,1.69923,0.911406,-0.51872,0.584943,0.693281,-0.979049,-0.633683,0.345621,1.22941,0.222776,0.752319,0.470809,0.431683,-2.37758,-2.43826,0.243248,-0.350291,-1.59718,1.76185,-0.243275,-0.540308,0.621018,-0.855047,2.45732,0.255971,0.039514,-0.62094,-1.4987,0.390998,0.257039,1.52143,-0.872427,0.907257,0.858325,0.425345,-0.880959,1.22867,-1.52957,0.637445,0.011531,-0.0671945,1.27533,-1.17482,0.48836,-0.497974,-0.198902,-0.437494,-2.08024,0.183294,-1.07697,1.32241,-0.282085,-0.106305,0.146415,-0.519102,0.797724,1.44339,1.22372,-0.16498,0.212924,0.794088,0.179325,-1.10947,0.601044,-2.50608,-1.74797,-0.211853,0.447029,0.533989,0.00256822,0.484326,0.795946,0.134007,0.0280646,0.703822,1.37398,-0.382007,-0.385635,-1.29008,0.198168,0.684979,-0.588149,-1.28797,0.0920862,-1.60792,0.212218,1.19346,-0.242194,1.31717,1.07124,-0.539223,-0.130948,-0.394287,0.791043,0.384176,0.487947,-0.0738286,0.423546,0.81448,-0.362323,-0.373418,0.119711,-1.49354,0.376798,1.47472,1.12662
-994.641,0.987669,0.0319159,7,127,0,1088.74,-1.64735,-0.143342,0.00863745,0.581754,0.552961,2.07658,1.47496,-0.757368,-0.327506,-1.77199,-0.53675,0.877469,0.978324,-1.04927,-1.99642,0.710687,1.1747,0.918837,1.53895,0.867506,0.672355,0.119619,-0.413634,-1.1801,-0.25553,0.879173,-0.522229,0.249918,0.634309,-0.111787,-0.0945754,-0.861294,0.815902,-0.205198,1.19603,-0.661315,2.31671,-0.857638,0.351058,-0.382796,-1.51488,1.16722,1.05104,0.601202,1.53373,0.124509,0.592703,0.119225,0.573103,-2.08874,-1.1674,0.439812,-0.662201,-0.261804,-0.685274,1.72984,0.218047,-0.673238,0.648201,0.238476,-0.966515,1.41583,1.11609,-1.94867,-0.164466,-0.040592,-1.25212,1.54612,0.155765,1.59003,-1.42281,0.783185,-0.148837,0.139694,-1.35997,-0.872281,-0.100955,-0.11711,-0.566248,0.902651,0.0510769,1.03646,0.676418,-0.520824,0.499658,0.882098,0.0752138,2.61141,-0.337041,-1.55767,-0.144598,0.381336,1.07478,-0.0390573,0.102163,0.0430147,-0.485046,-1.36361,-0.347762,2.25668,-0.554243,2.51459,0.562184,-0.762051,0.151653,1.42043,0.296613,0.278759,-0.473359,-0.194391,0.930146,0.0982411,1.27248,0.701142,0.477765,0.938427,-1.11227,1.79743,0.00971318,1.31626,-1.4489,0.32645,-0.261197,-1.2226,0.911217,-1.43793,0.678565,0.633266,0.0168474,-1.01894,-0.0276586,1.41321,-0.917334,-0.360374,-0.12128,-0.0541122,-2.18698,0.263942,0.600997,0.337228,-0.508563,0.749436,0.0510824,0.369224,-0.722081,-0.926329,-0.146643,2.89893,-0.841103,-0.446699,-1.24302,-0.616235,0.93361,0.916372,-0.0149521,0.207319,-0.217065,-1.0636,1.30877,3.21332,0.288297,-0.182272,0.112967,-0.449562,0.0685319,-1.06532,2.19875,-0.747625,-0.547269,0.444586,-0.538316,-0.134993,-1.1443,-0.114377,-0.22882,-0.942527,2.08307,0.0226969,-0.216332,0.292004,-0.0240281,0.350249,0.295875,0.558303,-1.45763,0.0908616,-1.27572,1.14824,0.5274,-2.47795,0.238928,-0.462686,0.0659058,-1.6062,0.0687472,1.67734,0.874032
-1003.7,0.994735,0.0319159,7,127,0,1099.02,-2.2056,-0.746935,-1.09235,1.21226,0.864523,0.781946,3.33737,-0.164193,0.188624,-0.393578,-0.213341,-1.19063,-0.432086,-0.685851,-1.68839,0.256052,0.780396,0.438974,1.3542,-0.799849,-0.160795,0.671477,0.37488,-1.70463,-0.807209,1.0366,0.927549,-0.0185492,-0.333925,-1.31404,-1.36567,0.446029,0.0181105,0.943001,0.49073,-1.1043,1.82592,0.214402,-0.105516,0.130866,-1.32023,1.88427,1.70718,0.355768,0.970448,0.417206,1.55156,-1.04203,0.829441,-0.162995,-1.61981,-0.900216,-1.07844,0.19578,-0.0565289,3.16986,0.0209434,-0.271466,-0.243406,-1.66151,-0.295173,0.417863,0.784159,-1.12655,-1.27498,-0.580785,-0.957409,2.12727,-1.26264,1.53758,-0.338137,0.288354,-2.03628,-0.743239,-1.09392,-0.647621,-0.212682,-2.04371,-1.98969,1.28074,-1.34608,-0.808221,0.678211,-2.10542,0.204908,0.223647,-0.611801,1.39794,-1.06422,-0.169911,1.07788,1.48904,1.08378,-0.809604,0.91314,0.61089,-0.690111,-1.74839,-0.0751135,0.747127,-0.327801,1.05588,0.273161,0.449743,-2.29919,-1.19094,0.718602,0.188403,-2.41724,0.838873,1.59699,-1.03801,1.13968,-1.16946,1.30861,-0.352218,-0.766499,0.719909,0.369808,0.642339,-0.913448,0.233325,-0.340312,-0.556991,1.98983,0.0962686,1.67432,2.0663,-1.21938,-0.264224,-0.703738,-0.3002,0.930257,-2.47028,0.127847,-0.0217634,-0.675494,0.0656425,-0.35053,0.271824,-1.08184,1.76851,1.56962,0.214794,-1.85203,-0.311128,0.654964,2.36034,-0.485382,1.95379,-1.61389,-1.4779,-0.0833182,-1.59538,0.447026,-1.99691,-0.688266,-0.956458,1.2293,1.82116,-0.588942,1.62011,0.184074,-0.283885,-0.0258761,-1.23764,1.85139,0.239257,-0.382164,-0.389715,-0.00596407,0.211819,0.212206,-0.429926,0.760885,-0.457513,1.0515,0.651218,0.408285,0.667377,0.63705,0.177487,-0.639212,0.105131,-0.514933,0.054194,-0.7067,0.795059,0.0624628,-0.194971,0.682952,-0.0896821,0.0331663,-1.23413,1.71098,1.22707,0.705809
-994.352,0.998725,0.0319159,7,127,0,1096.67,0.25334,0.633533,-0.255545,0.705919,0.237515,-1.30769,1.05649,-0.231939,1.01675,-0.993498,0.775565,0.334393,-0.362252,-0.402428,-0.593677,0.764367,0.983871,0.150882,0.826596,-0.446959,0.799705,-0.479843,-2.74042,0.607865,-0.657462,0.376045,-0.395239,-0.170775,-0.52085,-1.49146,-0.709311,-0.884183,1.24603,0.350848,0.95336,-2.01395,0.218031,-1.40643,0.448127,-1.28114,-0.442461,0.496326,0.872602,0.499125,1.60633,0.631629,0.449904,-0.0646484,0.820997,-1.07289,-0.0812935,0.0812004,-0.12147,-1.34104,-1.38736,2.58415,-0.481368,0.116563,-0.107497,-0.229394,-1.09105,1.62959,1.29403,-0.537682,0.270975,0.675404,-0.0868287,1.18737,0.686874,0.299154,-1.68044,0.203089,-0.0359608,0.362669,-1.34099,-2.01949,-0.322138,-0.650736,-0.629912,1.28557,-0.0191524,0.723109,0.882028,-0.781851,0.117541,0.277215,0.605517,1.33524,-1.04436,-1.49973,0.276876,-0.0506107,0.578328,-0.305323,-0.64246,1.38687,-0.733059,-0.93116,0.23933,1.46508,-0.0339049,1.18798,0.153416,-1.0204,1.15723,0.0110662,-0.413275,0.271733,0.938727,-0.427609,-0.544335,0.293629,-0.0131012,0.829238,0.786807,1.40445,-0.44786,-0.638399,-1.06148,0.377487,-0.673732,1.22018,-0.605696,-0.866682,-0.814417,-1.63371,-2.00754,-1.09481,-0.674506,-0.518114,-0.381505,1.82361,0.459358,0.223303,0.226533,-0.882965,-0.608947,0.051646,-1.17306,0.41322,-0.387521,1.86609,-1.22847,-0.385796,0.322079,0.494571,0.580336,0.914538,0.495096,-1.59581,-0.0651944,0.803914,-0.288833,0.760227,-0.126557,-0.965159,-1.92428,-1.49027,0.997198,0.876541,0.536671,-1.28989,0.716728,0.219607,0.663916,0.402941,1.57695,-1.27248,0.108508,-0.36401,0.667653,0.759742,-1.99064,-1.02664,-0.231899,-1.82485,0.989114,0.230047,-1.38306,0.633498,0.282459,-0.520665,1.07437,-0.925418,-0.47678,0.385623,1.0919,-0.00418149,0.24904,-0.724818,-0.167639,-0.976622,0.275597,-1.1016,0.493263,1.83024,0.687303
-992.789,0.987717,0.0319159,7,127,0,1089.62,-0.169287,-0.586689,0.583272,-0.789875,0.0543463,-1.15504,0.467487,0.293876,-1.05573,1.11342,-0.834255,-0.50208,-0.625057,-0.969091,-1.66186,0.961458,1.22998,0.896212,1.71136,0.17034,0.0932826,0.794076,0.246741,-2.28419,-0.695974,1.40789,1.0545,0.280848,-0.348632,0.250462,-0.720017,0.531357,-0.610451,0.610275,0.537379,-0.418096,1.5209,0.0811863,0.34834,0.26241,-1.35609,1.70994,1.46576,0.101322,0.660871,0.569737,0.69913,-0.948934,0.781236,-0.838036,-1.90094,-0.710161,-1.24567,-0.349438,-0.448334,1.07716,0.324265,-0.232353,-0.544164,-1.19289,-0.673745,-0.00146894,0.590118,-1.52652,-1.01132,-0.961564,-1.02621,1.60219,-1.72162,1.48425,-1.29448,0.0484973,-1.08496,-0.501961,-1.39731,-0.652172,-0.346853,-0.705684,-1.8713,1.07039,-1.13449,-0.123164,0.267416,-1.91757,0.397797,0.730381,-0.565031,0.599261,-0.414261,-0.463571,1.21172,1.63997,1.46498,-0.69501,1.45104,-0.246926,-0.919238,-1.99872,-0.519159,1.88596,-1.13584,1.98899,0.159442,0.63489,-3.01279,-1.23983,0.349574,-0.0332012,-3.13305,0.94483,1.54831,-0.964781,1.75534,-0.762663,1.12839,-0.46154,-1.01837,1.11073,-0.594644,0.34329,-0.800619,-0.52412,-0.613813,-0.186833,2.20902,0.280171,1.51671,1.86084,-0.76841,-0.9479,-0.517876,-0.700812,-0.0693647,-1.23136,0.649508,0.392143,-1.36335,-0.853282,-0.126019,0.0566629,-1.18613,0.106122,1.37429,0.843448,-0.362848,-1.09109,0.723979,2.87581,-0.240091,1.08586,-0.650824,-0.456374,0.578288,-1.23195,1.00379,-1.83884,-0.219014,0.173507,1.35724,1.61881,-0.214142,1.55145,0.0716767,-0.429813,-0.47364,-0.704427,1.74131,0.523521,-1.43896,-0.35325,-0.851424,-0.0975331,0.250562,-0.34641,-0.360589,-0.806098,1.37332,0.586374,0.545797,0.659119,1.21653,0.102511,-0.381241,1.16083,-0.180562,0.333543,-1.7115,1.0933,0.487527,-0.831445,-0.269522,-0.784323,0.418225,0.124415,0.0304915,1.72169,1.19091
