# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_bodymass_model
# start_datetime = 2025-12-05 13:48:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.98
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpUFXpkg/standata-9b5cbae6ed5.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpUFXpkg/detection_model_bodymass-202512050848-1-2006fa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpUFXpkg/detection_model_bodymass-profile-202512050848-1-92d6b3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_bodymass_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_k.1,b_k.2,b_k.3,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.0319897
# Diagonal elements of inverse mass matrix:
# 0.414041, 0.393913, 0.351039, 0.695664, 0.60811, 0.618456, 0.688189, 0.884275, 0.702083, 0.411623, 0.402436, 0.372743, 0.522754, 0.271626, 0.328079, 0.39551, 0.380286, 0.329722, 0.331798, 0.366422, 0.433986, 0.329061, 0.403774, 0.339438, 0.388453, 0.388998, 0.31485, 0.330336, 0.520393, 0.301807, 0.275665, 0.325158, 0.348949, 0.42261, 0.337876, 0.38478, 0.332729, 0.49362, 0.352519, 0.40835, 0.300077, 0.315488, 0.300515, 0.242096, 0.282853, 0.252469, 0.287669, 0.357847, 0.311617, 0.265462, 0.306447, 0.359395, 0.301534, 0.326298, 0.208851, 0.252158, 0.252449, 0.323313, 0.321075, 0.30206, 0.428742, 0.292762, 0.260664, 0.241755, 0.280586, 0.228482, 0.325205, 0.366865, 0.518005, 0.347096, 0.424706, 0.235718, 0.427744, 0.47604, 0.326829, 0.307836, 0.426458, 0.324138, 0.360314, 0.341616, 0.333152, 0.435081, 0.311244, 0.262765, 0.302758, 0.30767, 0.351333, 0.365563, 0.373063, 0.323279, 0.286078, 0.2481, 0.239596, 0.342326, 0.342856, 0.464987, 0.252469, 0.347436, 0.301387, 0.605041, 0.532575, 0.645496, 0.748133, 0.661935, 0.655206, 0.538143, 0.706192, 0.589578, 0.621563, 0.766934, 0.626414, 0.56074, 0.562575, 0.543092, 0.626463, 0.564667, 0.782863, 0.645895, 0.640144, 0.700611, 0.80049, 0.569166, 0.686636, 0.874573, 0.826033, 0.726452, 0.710708, 0.531059, 0.638312, 0.55869, 0.532108, 0.653927, 0.490946, 0.596659, 0.612698, 0.570597, 0.556177, 0.479189, 0.606129, 0.567507, 0.605512, 0.579369, 0.498767, 0.55154, 0.43802, 0.546816, 0.621335, 0.494757, 0.667805, 0.665829, 0.47287, 0.522327, 0.527397, 0.798927, 0.714607, 0.520692, 0.432947, 0.71499, 0.584868, 0.558447, 0.483317, 0.616916, 0.706494, 0.563867, 0.389533, 0.632203, 0.596048, 0.56558, 0.534371, 0.57778, 0.674667, 0.582228, 0.548269, 0.891395, 0.418468, 0.602558, 0.605041, 0.435969, 0.558033, 0.540999, 0.561055, 0.545679, 0.569701, 0.564195, 0.688361, 0.655786, 0.579626, 0.712558, 0.641494, 0.215316, 0.940175, 0.397252, 1.50526, 0.0471443, 0.0862318
-988.206,0.986291,0.0319897,7,127,0,1066.38,0.415492,0.495421,-0.107023,-0.519052,-1.01341,0.414259,-0.655995,-0.698175,2.17621,-0.296918,-1.09796,-1.02754,-1.3114,0.105403,0.6717,-0.27376,0.849159,0.381228,-0.225324,-0.609502,-1.37979,-0.816838,-0.669282,0.699807,0.481487,-0.109475,-0.559443,-0.271781,-0.473796,0.360608,0.981526,0.296507,0.098685,-1.15451,1.11648,-0.672335,0.196584,-0.907394,-0.379155,1.90088,0.672306,0.566206,1.75002,1.05444,2.29419,0.0125472,0.703422,-0.0960122,-0.441964,0.599889,0.122185,-0.614485,-0.524476,1.92163,0.13989,-0.0641406,-0.129359,0.606776,0.230944,0.734209,1.33804,-0.226825,-1.00145,-1.33497,0.0369507,1.66788,-0.700395,0.927774,-1.40542,-0.0647768,-0.5691,-0.361893,-1.16801,-1.03247,0.0251807,-0.51375,-0.608687,0.316468,-0.476649,-0.0842333,0.248677,-1.20551,-0.232218,0.258219,0.416624,1.30655,-0.69108,-0.0188462,0.197598,1.12101,1.02047,-0.394214,0.535881,1.39122,-1.44127,-1.10729,0.704816,1.79223,0.593863,0.974798,0.977602,-0.576768,-0.508446,0.533939,0.839445,0.936241,0.127872,0.322278,0.579171,-0.334318,0.862951,1.37006,1.07649,0.286556,-0.159871,-0.518939,-1.21557,0.874908,-1.02107,0.669368,-0.897012,0.0984798,1.34754,0.166749,-0.164526,0.166975,0.018837,0.150517,0.391672,0.665757,0.699244,-0.0351437,0.319485,-0.653428,0.350533,-0.560752,-0.383555,-0.0233788,-2.28383,1.25056,0.566338,-0.36805,-0.48878,2.06598,0.503466,0.466159,0.191182,0.236821,-0.268815,-0.1459,0.256167,-1.21788,-0.072911,-0.645228,-1.26542,-0.765357,1.02722,1.08044,0.572793,0.00425894,1.68994,1.02849,0.159677,-0.448501,1.48224,0.412937,0.833176,-2.35535,-0.00544228,1.55033,-0.718058,0.459911,-0.796199,-2.27882,0.861967,1.4008,1.59738,0.455116,0.0562096,0.0274137,-1.36047,0.150384,0.190152,-1.75319,-0.985063,0.304054,0.806599,-1.23841,-0.0428697,0.03132,0.0670526,-1.97339,0.176224,1.38477,0.609648
-983.591,0.992687,0.0319897,7,127,0,1083.22,0.594524,0.318278,0.988172,0.166074,-2.11243,0.0543599,-0.849714,1.41028,-0.14866,-0.0427968,0.134353,-1.1486,0.00446651,0.596437,0.840155,0.897359,0.714838,-1.09294,0.742305,0.793349,-0.884524,-0.0213153,-1.98725,0.0672183,-0.0651804,0.0844122,-0.0389109,-1.72078,-1.03279,-0.62849,-0.00227937,0.225559,0.965942,-1.11307,1.11115,-0.328146,0.0800157,-0.38015,-0.0227402,0.566501,2.14072,0.494669,1.58201,0.601683,1.77198,-0.83922,1.15415,-0.266907,-0.172236,-0.5143,0.844604,-0.0530246,-1.18893,1.48683,-0.190899,0.133149,0.474674,-0.191499,-0.598663,0.774776,0.682597,-0.163272,-0.158321,0.391215,-0.648641,0.970841,0.228484,0.93697,-0.35762,0.503926,-0.93151,0.0218748,-3.09853,-1.39283,-0.273127,-0.668398,-0.893156,1.87073,-1.25498,0.739034,1.23732,-1.45184,0.79021,0.517181,-0.405731,1.11584,-0.298586,-1.05646,0.687487,0.313174,1.00307,-0.278322,0.0701028,-0.77898,-0.296333,-1.99179,-0.208056,0.70989,-0.73947,0.731125,0.662102,1.28666,-1.40087,-1.21301,1.61434,0.213822,-1.93927,1.28808,0.459732,-1.27607,1.40655,-1.07189,1.31334,1.1592,-0.970958,-0.0575968,-0.2973,1.03653,0.166788,0.888748,-0.768932,0.787,0.157868,-0.923636,-0.382412,1.00712,-1.15413,-1.32644,0.588443,0.291684,0.707124,0.22199,0.852063,-0.835104,-1.67888,-0.175237,-0.580708,0.194564,0.230886,1.99838,0.0866236,-0.413278,-1.31366,-0.484556,0.593157,1.81788,-0.343064,-0.971539,-0.533413,0.367538,-0.129453,-0.865741,0.910764,-1.69322,-1.80575,-0.195067,1.74114,-0.18627,0.164938,0.630653,0.437726,0.892847,0.0570495,0.252675,1.74685,-1.39905,-0.259538,1.16525,-1.08047,-0.676523,-0.945254,-1.64694,1.19105,-0.432244,1.12152,0.502839,-0.157218,-0.446004,1.01932,-1.79369,-0.511888,1.46655,-1.68744,0.94447,0.104316,0.366969,-0.20014,-0.87294,1.37001,-0.685461,0.0684407,-1.5046,0.134419,2.18742,1.12526
-986.043,0.994957,0.0319897,7,127,0,1075.24,-0.198281,0.849205,0.739345,-0.0507137,-0.0850858,-0.585395,-0.429745,-0.202675,-0.140238,-0.0550144,-0.645046,0.444169,-3.11049,0.527459,1.08914,0.351141,1.70416,0.926744,0.371873,-0.224761,-2.44282,-0.74201,0.72441,1.11736,0.784136,0.0797827,-0.497715,0.262868,0.00819455,0.0151651,0.900831,0.632786,0.431914,-1.20425,1.52015,-0.719618,0.381316,-0.563958,-0.38044,2.7248,0.990508,0.286924,0.536068,0.294676,0.986196,-0.371116,0.520408,-1.27924,-0.611964,-0.315023,-1.14456,-1.49526,-0.670089,1.7639,0.692866,-0.130847,-0.58881,-1.36716,-0.812967,0.635778,1.00936,-1.48022,-0.881753,-0.942049,-0.0311047,1.8584,-1.04257,0.877546,-2.19795,-0.26419,-1.23449,0.191297,-0.99833,-2.00865,-0.579442,-0.577032,-1.3557,1.18732,-0.736886,-0.631184,0.320492,-0.91358,0.691476,0.179786,-0.114823,1.26882,-1.27048,-0.485519,0.134495,0.837773,0.942902,-0.834827,0.0112969,0.484296,-1.71331,-1.60059,0.39054,1.20495,-0.157232,1.17589,1.09593,-0.767195,-1.31646,0.035146,-0.101718,0.805121,-0.733366,1.9299,0.102248,0.489026,1.55949,1.79274,1.23614,1.66464,-0.590602,0.234162,-0.636063,0.591695,0.139285,0.976131,-0.457613,-1.14309,1.2859,0.0587852,-0.964627,-0.0489843,-2.26171,0.457487,-0.799655,1.66448,0.876452,-1.15273,0.62432,0.331694,0.684675,-0.751689,-0.238259,2.10146,-2.28109,1.11488,-0.358422,-0.584177,0.399072,0.505929,0.330982,2.04955,1.0589,-0.706962,0.142374,0.0855533,-0.638198,-0.655962,0.461636,-1.12024,-0.660177,-2.02965,-0.156968,2.07337,1.22322,0.868192,1.20475,-0.39563,-0.548506,-0.53768,1.05555,0.0597615,-0.551125,-0.810902,-0.772148,0.443627,-0.155786,-1.2068,-0.761028,-1.22121,0.892052,0.52864,-0.167437,0.241496,-0.83947,0.379842,-0.0402577,1.13128,0.106121,-1.13582,-0.754124,1.35882,1.09666,0.36601,-1.27421,-0.373911,0.00401844,-1.36078,1.23498,1.31905,0.803828
-990.703,0.993871,0.0319897,7,127,0,1088.37,-0.943954,0.339537,-0.11551,0.370123,-0.0913949,-0.314703,-0.361429,2.05015,1.84584,-0.367072,0.285621,-1.76794,-0.943264,0.99068,2.09309,1.24223,1.3103,-1.23215,0.670223,1.38238,0.365711,-0.0183295,-1.55169,0.42945,-0.182992,0.326995,-0.0950786,-1.79936,-1.01168,0.228657,-0.417393,-0.215157,1.6292,-1.26873,1.48455,-0.218996,0.352794,-0.415032,-0.357385,1.00415,1.21915,0.249321,1.68317,0.544726,1.15803,-1.11716,1.30129,-0.924846,-0.552118,-0.723908,-0.0458883,-0.53218,-1.43741,1.55337,-1.09095,-0.00726816,0.13326,-0.433802,-1.19047,0.850771,1.65732,-1.05613,-1.24275,0.471995,-1.21807,0.423947,-0.262409,0.922921,-0.838601,0.572221,-0.499035,-0.240139,-1.55264,-0.43025,0.430355,-1.10867,-3.12556,2.17643,-0.966183,0.842259,0.851996,-0.95201,0.188606,-0.179305,0.175824,1.03394,-0.940284,-0.261969,0.605905,0.827669,0.700209,-1.07806,0.445205,-0.126938,0.180255,-0.855505,-0.471458,1.68882,-0.554936,1.30873,-0.0164649,0.863147,-0.0414744,-1.53859,0.541929,0.676374,-0.794942,-0.254716,0.823422,-0.872091,-0.198424,-0.96003,1.40501,-0.20617,-1.4833,0.522841,-1.02936,0.861443,-2.12927,0.108418,-0.932696,-0.620377,0.672319,-1.58568,-0.245119,0.681205,-0.217226,0.597629,0.108639,0.0800692,0.216102,-0.123383,-0.293209,-0.922375,-1.03209,0.535107,-0.379106,-1.61023,0.699659,0.440374,0.381329,0.373822,0.170076,-1.25719,0.695622,2.12225,-0.84781,-0.3937,-1.02877,0.0891351,1.20083,-0.059887,0.636439,-1.40405,-0.941444,0.331987,2.02032,0.338107,-1.01307,-0.901835,0.757249,-0.879278,0.649658,0.042547,2.16368,-1.31903,-1.18238,0.0262314,-0.708763,-0.21212,-2.4335,-0.94398,0.294756,-1.9682,1.4305,0.0388147,0.222592,0.521451,0.818526,-0.199089,0.0908862,-0.557822,-0.286408,1.67204,-1.03439,-0.355492,-0.828085,-1.94016,1.1112,-0.466476,0.240153,-0.782238,0.117663,1.74551,1.11017
-994.083,0.987196,0.0319897,7,127,0,1082.51,-0.87628,0.388293,-0.208196,-0.227012,0.145752,-0.270932,-0.27124,1.60516,1.94083,-0.221316,0.257722,-1.66125,-1.02206,0.839905,2.14636,1.16174,1.2411,-1.15243,0.664513,1.49559,0.260561,-0.051688,-1.55104,0.45802,-0.120227,0.329136,-0.0345736,-1.75437,-0.942269,0.618575,-0.277191,-0.0602286,1.83299,-1.18963,1.43591,-0.229926,0.620949,-0.307241,-0.235168,1.21964,1.05692,0.271416,1.8933,0.326462,0.998352,-0.881438,1.33025,-1.04936,-0.707783,-0.924781,-0.261092,-0.452894,-1.56847,1.66686,-0.956783,-0.115853,0.00217552,-0.495161,-1.2464,0.500396,1.59235,-1.21672,-1.25672,0.525318,-0.989441,0.360667,-0.173849,0.849457,-0.889294,0.745938,-0.748307,-0.477616,-1.44197,-0.336956,0.44293,-1.03979,-3.06515,2.28548,-1.08832,1.12058,0.934628,-1.07082,0.0757143,-0.110003,0.112416,0.999639,-0.924259,-0.458263,0.596568,0.948273,0.559189,-1.11935,0.545144,-0.050177,-0.10804,-0.472313,-0.755213,1.41613,-0.447413,1.24244,-0.0584817,0.983399,0.025592,-1.70608,0.853071,0.853819,-0.974064,-0.442533,0.77548,-0.69372,-0.220241,-0.857567,1.47581,-0.161313,-1.05907,0.106376,-1.24337,1.28346,-1.595,-0.268965,-0.698045,-0.614762,0.693412,-1.6412,-0.116439,1.02512,0.00654343,0.42251,0.281542,-0.0405658,0.0904656,0.0885781,-0.269225,-0.697802,-0.966696,0.304958,-0.292793,-1.29892,1.03155,0.790143,0.250601,0.463588,0.660176,-1.07336,0.769697,2.45989,-0.563155,-0.0612414,-1.22154,0.0776688,1.30441,0.0693484,0.213336,-1.08836,-1.12711,-0.0172283,2.04565,0.444484,-1.16533,-0.830227,0.897632,-1.12125,0.336694,0.349699,2.26505,-1.27639,-1.13738,0.30166,-0.741859,-0.387912,-2.39456,-0.934745,0.356209,-2.22529,1.23767,0.106363,0.530176,0.35614,0.833732,-0.149478,0.00328827,-0.7767,-0.203135,1.89952,-0.88828,-0.56321,-0.9862,-1.51123,0.864972,-0.619806,0.218307,-0.860521,0.0937194,1.66219,1.09476
-993.981,0.986944,0.0319897,7,127,0,1096.24,0.975077,1.25584,1.47646,1.16912,0.966583,-0.199818,0.243902,-0.709176,-1.53104,-0.00544363,-0.523291,0.211141,-0.913799,0.727338,-0.0564136,0.25469,1.33458,0.86855,1.04982,-0.727145,-2.46295,-1.05194,0.765491,0.835134,1.2063,-0.157006,-0.57788,0.374156,-0.0507567,-0.936119,1.39046,0.703698,-0.0581181,-0.47965,0.823524,-1.12682,0.102564,-0.761861,-1.39745,0.871459,0.912731,-0.0316253,0.813404,0.0544871,1.02324,5.98771e-05,0.847795,-1.11223,-0.867749,0.379044,-0.308492,-0.731839,0.386806,1.71131,0.707026,-0.0619032,-0.539677,-1.19761,-1.56173,1.50399,0.94912,-1.32674,-0.221387,-0.512893,-0.115226,1.94441,-0.331477,0.78933,-1.4374,-0.364638,-1.1149,0.308866,-1.14348,-2.50017,-0.912717,-0.775945,0.0175446,1.63541,-0.12865,-0.0213089,0.927158,-1.24757,1.22611,0.869085,-0.142464,1.64295,-1.18007,-0.702683,0.97125,0.376213,1.11889,-0.320407,1.22261,-0.280147,-2.11715,-2.04376,0.648562,1.4998,-0.332419,0.748319,1.25559,-0.846636,-1.74993,-0.93719,-0.145058,-0.418207,-1.68671,1.41298,0.120186,-0.299431,1.79652,0.318943,0.538073,1.25077,0.692371,0.910803,-0.46831,-0.284002,0.228019,1.57587,-0.381275,-0.212842,0.52705,0.216765,-0.334755,0.398268,-1.25138,-1.3367,-0.733864,0.788075,0.691936,-2.38353,0.31512,0.241589,0.127934,-0.404151,0.0598194,1.66281,-1.49029,0.759694,-0.583779,-0.700284,0.563516,-0.0958411,0.00436874,2.23813,0.483278,-0.717894,-0.0943081,-0.138414,1.04007,-0.705029,0.0283136,-1.88132,-1.37002,-0.897708,-0.0586914,1.55833,2.05137,-0.0820871,-0.31752,0.260734,-0.850534,-1.16743,0.892926,-0.658224,-0.0433041,-0.236105,-0.865721,-0.420737,-1.48122,-0.872618,-0.0510766,0.0461263,1.52818,0.804473,-1.43483,1.22786,0.673232,-0.492474,-0.14334,0.944196,-1.91255,-0.76939,-0.760907,1.45615,0.546129,-0.430658,-0.312748,-0.766838,0.0437908,-1.89603,0.133801,1.46336,0.865942
