# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = detection_model_bodymass_model
# start_datetime = 2025-12-05 13:48:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.98
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpUFXpkg/standata-9b5cbae6ed5.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpUFXpkg/detection_model_bodymass-202512050848-3-2006fa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/scaggs.32/AppData/Local/Temp/RtmpUFXpkg/detection_model_bodymass-profile-202512050848-3-92d6b3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=detection_model_bodymass_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_k.1,b_k.2,b_k.3,p_z.1,p_z.2,p_z.3,alpha_z.1,alpha_z.2,alpha_z.3,u_z.1.1,u_z.2.1,u_z.3.1,u_z.4.1,u_z.5.1,u_z.6.1,u_z.7.1,u_z.8.1,u_z.9.1,u_z.10.1,u_z.11.1,u_z.12.1,u_z.13.1,u_z.14.1,u_z.15.1,u_z.16.1,u_z.17.1,u_z.18.1,u_z.19.1,u_z.20.1,u_z.21.1,u_z.22.1,u_z.23.1,u_z.24.1,u_z.25.1,u_z.26.1,u_z.27.1,u_z.28.1,u_z.29.1,u_z.30.1,u_z.1.2,u_z.2.2,u_z.3.2,u_z.4.2,u_z.5.2,u_z.6.2,u_z.7.2,u_z.8.2,u_z.9.2,u_z.10.2,u_z.11.2,u_z.12.2,u_z.13.2,u_z.14.2,u_z.15.2,u_z.16.2,u_z.17.2,u_z.18.2,u_z.19.2,u_z.20.2,u_z.21.2,u_z.22.2,u_z.23.2,u_z.24.2,u_z.25.2,u_z.26.2,u_z.27.2,u_z.28.2,u_z.29.2,u_z.30.2,u_z.1.3,u_z.2.3,u_z.3.3,u_z.4.3,u_z.5.3,u_z.6.3,u_z.7.3,u_z.8.3,u_z.9.3,u_z.10.3,u_z.11.3,u_z.12.3,u_z.13.3,u_z.14.3,u_z.15.3,u_z.16.3,u_z.17.3,u_z.18.3,u_z.19.3,u_z.20.3,u_z.21.3,u_z.22.3,u_z.23.3,u_z.24.3,u_z.25.3,u_z.26.3,u_z.27.3,u_z.28.3,u_z.29.3,u_z.30.3,v_z.1.1,v_z.2.1,v_z.3.1,v_z.4.1,v_z.5.1,v_z.6.1,v_z.7.1,v_z.8.1,v_z.9.1,v_z.10.1,v_z.11.1,v_z.12.1,v_z.13.1,v_z.14.1,v_z.15.1,v_z.16.1,v_z.17.1,v_z.18.1,v_z.19.1,v_z.20.1,v_z.21.1,v_z.22.1,v_z.23.1,v_z.24.1,v_z.25.1,v_z.26.1,v_z.27.1,v_z.28.1,v_z.29.1,v_z.30.1,v_z.1.2,v_z.2.2,v_z.3.2,v_z.4.2,v_z.5.2,v_z.6.2,v_z.7.2,v_z.8.2,v_z.9.2,v_z.10.2,v_z.11.2,v_z.12.2,v_z.13.2,v_z.14.2,v_z.15.2,v_z.16.2,v_z.17.2,v_z.18.2,v_z.19.2,v_z.20.2,v_z.21.2,v_z.22.2,v_z.23.2,v_z.24.2,v_z.25.2,v_z.26.2,v_z.27.2,v_z.28.2,v_z.29.2,v_z.30.2,v_z.1.3,v_z.2.3,v_z.3.3,v_z.4.3,v_z.5.3,v_z.6.3,v_z.7.3,v_z.8.3,v_z.9.3,v_z.10.3,v_z.11.3,v_z.12.3,v_z.13.3,v_z.14.3,v_z.15.3,v_z.16.3,v_z.17.3,v_z.18.3,v_z.19.3,v_z.20.3,v_z.21.3,v_z.22.3,v_z.23.3,v_z.24.3,v_z.25.3,v_z.26.3,v_z.27.3,v_z.28.3,v_z.29.3,v_z.30.3,mu_p,sigma_p,mu_alpha,sigma_alpha,sigma_u,sigma_v
# Adaptation terminated
# Step size = 0.029728
# Diagonal elements of inverse mass matrix:
# 0.491294, 0.432799, 0.337484, 0.590007, 0.61159, 0.655837, 0.841325, 0.841331, 0.910291, 0.416316, 0.407054, 0.378412, 0.467532, 0.304819, 0.345714, 0.386711, 0.39613, 0.486879, 0.317713, 0.421263, 0.541204, 0.367648, 0.476649, 0.366759, 0.341086, 0.305399, 0.298682, 0.438516, 0.460902, 0.299316, 0.364664, 0.350735, 0.367065, 0.507642, 0.389214, 0.367381, 0.397912, 0.339118, 0.339452, 0.337367, 0.345321, 0.279778, 0.365116, 0.288324, 0.298668, 0.280974, 0.296596, 0.324143, 0.307261, 0.264453, 0.242588, 0.341134, 0.378693, 0.356584, 0.294537, 0.254328, 0.215935, 0.366887, 0.281119, 0.297275, 0.355043, 0.277274, 0.232415, 0.259482, 0.317567, 0.337043, 0.309108, 0.372644, 0.472626, 0.234164, 0.400572, 0.261027, 0.396254, 0.416285, 0.303181, 0.311834, 0.476177, 0.367318, 0.351997, 0.252682, 0.302718, 0.431807, 0.282871, 0.260335, 0.24858, 0.281589, 0.334993, 0.306785, 0.312496, 0.366018, 0.343766, 0.354375, 0.278352, 0.348692, 0.38604, 0.46392, 0.250122, 0.312589, 0.286514, 0.561011, 0.57635, 0.649455, 0.789318, 0.841641, 0.609177, 0.597873, 0.625227, 0.631608, 0.618009, 0.728881, 0.636353, 0.569838, 0.73012, 0.560419, 0.70281, 0.521451, 0.703404, 0.75049, 0.764821, 0.566702, 0.659569, 0.708394, 0.499204, 0.857726, 0.707856, 0.569217, 0.836031, 0.722139, 0.721375, 0.532819, 0.51224, 0.663117, 0.525469, 0.592403, 0.659252, 0.474303, 0.682536, 0.593178, 0.629952, 0.50064, 0.473969, 0.635792, 0.477195, 0.507952, 0.506617, 0.562781, 0.556411, 0.584045, 0.516013, 0.684292, 0.604471, 0.577168, 0.515933, 0.669216, 0.590995, 0.590147, 0.510002, 0.565846, 0.556375, 0.561037, 0.514158, 0.668082, 0.65111, 0.554837, 0.443862, 0.524746, 0.560932, 0.716323, 0.661789, 0.54442, 0.623301, 0.719082, 0.59475, 0.733346, 0.478294, 0.480383, 0.505961, 0.489644, 0.603969, 0.579773, 0.694485, 0.640148, 0.520462, 0.508777, 0.662672, 0.591246, 0.622852, 0.687564, 0.616347, 0.204803, 0.963396, 0.409812, 1.27529, 0.0554666, 0.0883043
-991.921,0.998656,0.029728,7,127,0,1082.23,0.706852,1.41014,1.34046,1.08933,0.960066,-0.917177,0.623317,-0.316603,-0.650581,-0.54453,-0.0492435,-0.122541,-1.65743,0.767647,1.59327,0.403992,0.399032,-0.474585,0.138174,-0.422936,-2.06517,-0.245555,-0.480043,1.55474,-0.657407,-0.158964,0.0524021,-0.18573,-0.978729,-0.0900091,-0.011265,0.837911,-0.170878,-1.44887,0.813756,-1.27937,0.653125,-1.02952,-1.93286,0.873288,1.85694,2.13263,0.712576,0.644827,0.458661,-1.19779,1.70576,-0.795293,-0.839202,-0.373548,-0.8974,-0.766144,0.0984154,1.06762,0.207041,-0.747972,-0.498865,0.338768,-0.684743,0.438577,1.44561,-1.71474,-0.244278,0.0552653,-0.710432,1.17662,-0.167207,1.97873,-0.934474,0.549284,-1.34957,0.736587,-0.819808,-1.78727,0.131284,-0.554444,-0.926333,1.29448,-0.501789,-0.0842872,1.21008,-1.15393,0.34204,0.964322,0.190756,0.804177,-0.657487,-0.879998,0.812052,0.520015,1.23858,-0.0865868,0.697451,-0.566255,-0.0196714,-1.56051,-0.120834,1.29813,-0.158491,0.583702,0.79634,-0.11023,-0.703188,-0.321521,0.560329,1.36788,-0.144215,1.76658,0.884797,0.292072,1.50428,0.779576,1.8922,-0.711144,-1.27055,0.494254,-0.800459,-1.46569,-0.580021,0.973736,-0.705738,0.771565,-0.463731,-0.774078,0.954442,1.0463,-1.72244,-0.649846,-0.865077,-1.00815,0.0821526,-1.87514,0.364048,-0.611438,-0.69378,-0.612425,-0.796291,0.675167,-1.48419,-0.554758,0.425406,0.367551,0.48902,-0.995125,-0.196398,1.77031,-1.81831,-0.0608524,-1.23175,0.258686,0.102224,-0.35908,0.666422,-0.854749,0.0382894,-0.417171,1.31841,3.07428,0.675345,-0.0563698,0.595839,-1.57175,1.12607,0.0272261,0.649664,-1.89584,-0.323659,0.0280813,-0.181946,-1.28359,-0.949141,-1.10354,-0.327038,-1.13136,0.350638,-0.531379,0.128664,-0.733593,-0.871761,0.647321,0.546459,-1.01244,-0.475102,-0.702551,-0.774524,2.67391,-0.977392,-1.17724,-0.761683,-0.71314,0.0603076,-1.6616,0.162967,2.15586,1.01483
-967.339,0.999114,0.029728,7,127,0,1063.36,0.45315,1.47501,1.0679,-0.506102,1.42507,-0.408905,0.265354,-2.07592,-0.395384,-0.0964588,-1.01285,-1.65016,-1.45217,0.203351,1.52965,0.710391,1.23547,-0.337222,0.552253,0.256248,-0.609554,-1.09327,-1.15986,-0.344815,1.10149,-0.118477,-0.553502,-1.17292,-0.611301,-0.601918,1.05437,0.268275,0.968301,-1.31987,0.379067,-0.694041,-0.343159,-0.887385,0.00602359,1.093,0.756581,0.764,1.44174,0.0775243,1.1638,-0.388854,1.03891,-0.752723,-1.19593,-0.175758,-0.527517,-0.305551,-0.967246,2.0662,-0.268462,0.159385,-0.149231,-1.1336,-0.730395,0.512045,1.93683,0.141228,-0.464761,-0.0953525,-0.944356,1.34248,-0.502438,2.87171,-0.70301,0.758533,-0.193708,-0.0192498,-1.92556,-1.16911,-0.396476,-0.510429,-1.02272,1.1627,-0.199845,0.27159,0.435122,-0.267431,0.714199,0.233081,-0.240304,2.00919,-0.180395,-0.188409,1.19189,1.069,0.812559,-0.338865,0.584965,0.611008,-0.300499,-1.14686,0.445579,1.0406,-0.190493,2.2762,0.0041939,-0.131643,-1.68221,0.584044,0.102032,-0.770036,-1.58266,-0.759249,-0.146111,-1.04504,0.937293,0.462532,0.3111,0.733839,-0.400539,-0.337259,-1.14266,2.52197,-0.832678,0.433358,-0.464301,-0.284617,1.36061,-0.796558,-0.956253,1.69232,-0.0912854,-0.110267,-0.10773,2.05014,0.676341,-1.56791,0.165347,1.02049,-0.897826,-0.252295,-0.678799,-1.03325,0.808815,0.34861,0.761838,-0.755884,-1.60469,-0.341726,0.702249,2.09642,0.0729926,0.283226,-0.797,-0.602629,0.464136,0.0690508,-0.504132,-0.353906,-0.655285,-0.21299,0.571741,0.540525,0.539349,-0.104585,-0.405462,0.431451,-0.614496,-1.24539,1.01997,0.0594793,-1.47831,-1.5398,-1.19691,-0.0200456,-0.493754,-1.08237,0.243977,-2.44524,-0.0793912,0.0447812,-0.889161,1.20672,1.58286,-0.838525,0.0915775,-0.141601,-0.718088,0.271856,0.481675,-0.346554,-0.454695,0.19846,-0.0824008,-0.369412,0.0534455,-1.84408,0.409761,2.02855,1.0978
-979.292,0.964846,0.029728,7,127,0,1065.35,0.692536,1.40777,0.654022,-0.137132,0.792542,-1.00824,-0.347616,-0.0303139,0.658672,-0.807673,0.0180941,-1.90082,0.14626,1.10907,0.94583,0.67422,1.59851,0.52272,0.955685,0.849025,-0.0278734,0.0644212,-0.921109,0.895264,-0.621996,-0.294888,-0.319777,-0.572913,-1.22974,0.0123396,1.24851,0.449777,1.07306,-1.48659,1.16886,0.157587,0.263244,-0.417818,-0.586538,0.249611,1.67866,0.603139,1.28173,-0.192864,1.0003,-0.805284,0.0518203,-0.884492,-1.23308,-0.253635,-0.78726,-0.606702,-1.74895,2.75951,-0.640877,-0.230956,-0.455399,-0.751452,-0.675991,0.781053,1.61371,-0.18673,-0.123581,-0.0815304,-0.871383,0.771847,-0.220234,1.96054,-0.796726,-0.0524958,-0.746189,0.0515961,-0.469394,-1.30218,0.23577,-1.26439,-0.65732,1.14096,-0.543295,0.630794,1.28392,-1.00856,0.533978,0.663865,0.148495,1.47929,0.232069,0.0846753,0.311123,0.649205,1.18231,-0.425023,0.455809,0.0136914,-0.83139,-0.680345,0.537674,1.65325,-0.698673,1.41967,0.627108,1.4455,-1.07674,-0.361392,0.23232,-1.00849,-0.862686,-0.463185,0.452139,-0.625121,0.87124,-0.541563,0.527217,-0.54101,-1.2323,0.410004,-0.498493,0.46548,-1.32483,0.635144,0.668485,-0.162706,1.80322,-0.848744,0.22944,1.79108,-0.322988,-0.535921,0.745617,1.27733,-0.766901,-2.54596,0.707455,0.867791,-0.3989,-0.369616,0.352058,-0.138229,-0.00926,0.102873,0.402168,0.135997,-1.15722,0.0499762,0.126667,1.84173,1.51683,0.441411,-0.723435,0.136787,-0.460488,0.328299,0.440196,-2.49206,-0.706337,-0.585013,1.64129,1.31201,-0.0593642,0.0429663,-0.220311,-0.525116,-0.305103,-0.554447,0.763828,-0.352985,-1.34707,-1.73822,-0.568835,0.580727,0.457109,-1.39125,-2.02663,-0.749099,1.03153,-0.709299,-0.54018,1.18124,0.803197,-0.329276,0.633083,0.516222,-1.92873,0.588514,-0.858172,0.458698,0.450746,-0.426447,0.4922,-0.827255,0.0589497,-1.42576,1.24759,1.99876,1.01839
-1000.07,0.997814,0.029728,7,127,0,1088.74,0.882656,0.407522,0.0723725,-1.63369,0.683369,1.482,0.179641,-0.904544,0.404603,0.258162,-1.12236,0.444735,-2.77682,0.426043,0.566515,0.986406,0.682184,-1.36248,-0.278552,-0.698085,-2.72893,-1.52409,-0.886492,0.133036,1.11971,-0.0815456,0.040438,-0.647981,-0.196925,-1.07344,0.251151,0.0141848,0.0424206,-1.0382,0.694807,-1.74742,-0.14551,-0.514276,-0.353371,1.58986,0.955844,1.4481,1.17687,1.334,0.535288,0.068029,1.79547,-0.700658,-1.10556,-0.0846766,-0.28254,-0.625026,0.395748,1.20983,1.05502,0.0189295,-0.0251821,-0.527799,-0.53382,0.437838,1.13018,-1.8384,-0.198643,-0.322366,-0.328899,1.93124,-0.713155,-0.00728927,-2.46692,0.866251,-0.385273,0.137839,-2.00324,-0.362549,0.802151,-0.355769,-1.45914,1.49983,-0.617856,-0.111318,0.715715,-0.768866,0.535567,0.363713,0.0611551,1.1398,-1.67493,-1.19937,0.903468,1.66274,1.14346,0.0124121,0.278913,0.890122,-0.193152,-1.29417,-0.160361,1.42513,0.474148,1.44148,1.94118,-0.761095,-0.750012,-1.40294,0.706688,1.89226,-1.04414,2.23378,0.628986,0.172807,0.70248,0.29388,1.91558,0.0374545,-0.857791,0.906531,-0.876714,1.59208,-0.121865,1.84224,-1.09659,0.577899,0.782557,0.284643,-0.152061,-0.140807,-1.14972,0.0958946,-1.52987,-0.620748,1.43954,1.34759,0.598671,-0.653007,-1.49113,0.261686,-1.88641,0.271565,-1.92424,1.34865,1.08343,1.20325,0.456867,-0.622076,0.87492,1.9989,-0.27909,0.152813,-0.61268,0.999442,0.171305,-0.933894,0.43081,-1.55355,-1.18652,-0.118791,0.370115,1.20862,0.904319,0.438273,0.367139,-0.516471,-0.251804,-0.659618,2.30889,0.20029,0.528412,0.874744,-0.214347,-0.0442149,-2.15795,-0.933114,1.85607,-1.95451,1.41598,2.24892,0.214782,0.136308,0.544821,-0.351011,-0.993048,0.635508,0.915415,-0.33669,-0.193682,0.911448,-0.139758,-1.52733,-1.02344,-0.765664,0.205261,-1.49237,0.00700765,1.64836,0.893156
-1018.97,0.997669,0.029728,7,127,0,1099.5,1.00164,1.57069,1.17642,1.14387,0.274193,-1.14143,-0.0886884,0.802452,0.0471754,-1.27664,-0.96673,-2.3602,-0.153249,-0.0628355,0.670008,0.25426,1.60396,-0.469385,1.45677,-0.180185,-0.535354,-0.279731,-0.599577,1.21842,-0.952962,-0.0113647,-0.843189,-1.25338,-1.65335,0.300301,1.12009,0.248787,0.697867,-1.3231,0.189995,0.0597716,0.115572,-1.46979,-1.53579,0.40064,1.81458,-0.600068,2.10681,-0.321427,0.694455,-0.974321,-0.0268664,-0.875152,-0.602271,-0.644328,-0.583873,-0.557758,-2.19522,2.77607,-1.05297,-0.141609,-0.532491,-0.632775,-0.997349,0.823644,1.24808,0.128203,-0.549885,0.544424,-0.490511,0.780326,0.049481,2.77065,-0.148464,-0.117399,-0.858544,-0.13914,-0.471503,-1.80926,-0.849232,-0.828129,-0.668139,1.5936,-0.757698,0.909008,1.00217,-1.62912,0.698901,0.784381,0.360845,1.67377,0.338877,0.0227093,0.417481,0.103454,1.63595,-0.703291,1.08778,-0.365214,-0.880334,-1.77569,0.636279,2.23454,-0.887344,1.24487,-1.33427,0.694038,-1.4336,-0.0684402,-0.0858567,-1.19688,-0.971856,-0.663777,0.49017,-1.63515,1.02585,-0.18958,0.579642,1.22112,-0.159702,0.0139039,-0.929568,-0.261564,-0.932967,-0.310141,0.0467044,-1.28,1.05566,-1.26558,-0.673668,1.42255,-0.0386601,-0.510235,1.10645,1.79209,-1.14925,-2.69024,-0.117295,0.0950086,-0.265374,-0.540717,0.73441,0.595016,0.469093,0.116758,-0.874976,-1.17475,-0.942927,-0.169568,0.51792,1.48212,0.658589,-0.619113,-0.0868226,-0.810413,0.143145,0.232201,0.624595,-1.23899,-0.346401,-1.00504,1.6227,1.42996,-0.811815,-0.488981,0.674958,0.56648,0.334476,0.209317,1.24333,-0.826798,-1.7055,-2.26217,-0.0444468,0.99183,0.710317,-0.236006,-2.32778,-0.376372,0.585337,-1.25227,-0.641184,1.87752,0.23753,-0.0743141,1.53384,-0.475584,-1.58869,1.38207,-0.713511,0.0580769,0.770277,0.00632811,1.02551,-0.31639,0.11459,-2.14164,0.0144009,1.18506,0.504092
-1026.09,0.996506,0.029728,7,127,0,1125.34,0.200168,0.595557,0.161558,-0.277418,-0.0944431,-1.41904,-0.140032,0.994516,-1.57139,0.089395,-0.856245,-0.85966,-3.03219,0.650282,0.877338,0.59837,0.608159,-0.0536009,0.542989,-0.435271,-1.12769,-1.50195,-0.667534,0.865376,0.572635,-1.01657,0.112434,-0.976363,-1.81303,-0.019308,0.20282,0.305658,0.197052,-0.440768,1.17695,-1.03228,0.682465,-1.61532,-2.26872,0.879693,0.584924,0.209354,1.77364,1.00792,0.810211,-0.0122883,0.828606,-1.65539,-0.576682,-0.816009,-0.116643,-1.11411,-0.719091,1.70602,-0.10909,-1.02695,-0.254172,-0.366266,-0.942389,-0.0556711,0.89808,-0.902462,-0.436818,-0.613339,-0.692308,1.92271,-0.623533,-0.717219,-0.860825,0.374203,-1.35992,0.297855,-1.4079,-1.96919,0.466696,-1.08587,-1.53606,2.44949,0.0468731,-0.652241,1.60964,-1.14812,-0.260886,0.288278,0.573532,1.62577,-1.44105,-0.0537346,0.926094,0.710043,0.945628,0.27785,0.260288,-0.295007,-0.840651,-0.470233,-0.362741,0.680389,0.110712,1.45183,-0.207164,0.260754,-1.46128,0.0623049,0.618863,-1.28521,-0.374933,0.204102,1.08561,-0.733481,0.357455,0.833858,1.69399,-0.401798,-0.74952,0.529637,-0.623639,-0.448177,-1.57985,0.253884,0.150907,1.11181,3.07165,-1.50552,-3.79589,1.7059,-1.32957,-0.430733,-0.915397,1.88535,0.718198,-0.325213,1.01863,-0.103132,-0.113484,0.181497,0.363292,-0.572518,-1.01452,1.34825,0.12264,-1.3071,0.870681,1.02139,0.194881,-0.650864,-1.2877,0.297555,-1.26017,1.76726,-0.814894,0.239093,-0.304761,-2.13209,0.0944549,0.964806,1.02654,-0.242573,-0.784267,-0.825568,-0.173669,0.112522,-1.20957,-0.945653,0.80982,-0.928744,-0.498167,-0.546806,-1.45028,1.34318,0.084778,-0.800523,-1.12075,-1.08722,1.12925,0.546664,-0.094293,1.34704,-0.585826,0.317357,0.916553,0.177141,-1.0408,0.951744,1.05543,2.11648,0.434476,1.51654,-2.49436,-0.0434958,0.110297,-1.50142,0.0421835,1.25864,0.357965
