"","scenario","k",".alpha_k",".beta_k",".gamma_k","mu_beta","mu_gamma","label","beta_k","beta_k.lower","beta_k.upper","gamma_k","gamma_k.lower","gamma_k.upper",".width",".point",".interval"
"1",1,1,-1.1507499862688,0.27985981985737,0.382852815361323,"0","0","$\beta_k = 0$, $\gamma_k = 0$",0.077284914334025,-1.45220125,1.55630225,0.7536069212,0.257543525,1.34394875,0.95,"mean","qi"
"2",1,2,-2.93887694951002,-0.391299108459404,0.177869092235946,"0","0","$\beta_k = 0$, $\gamma_k = 0$",0.09962607894315,-1.30408925,1.5170225,-0.229892744587,-1.01693475,0.50309165,0.95,"mean","qi"
"3",1,3,-2.3079790803263,-0.633332518659485,0.674174947689575,"0","0","$\beta_k = 0$, $\gamma_k = 0$",-0.79757409236325,-2.14592175,0.47005925,0.42584950386525,-0.0920779674999998,1.014314,0.95,"mean","qi"
"4",1,4,-3.33123172880059,0.0572017556150659,0.0527274137635387,"0","0","$\beta_k = 0$, $\gamma_k = 0$",0.11554820132325,-1.51832475,1.684756,0.1477496966219,-0.705598,1.0104615,0.95,"mean","qi"
"5",1,5,-3.16667071037008,-0.439188747229025,-0.255445779419486,"0","0","$\beta_k = 0$, $\gamma_k = 0$",0.1355748173525,-1.43371825,1.65472875,-0.06163641498575,-0.85797255,0.71718995,0.95,"mean","qi"
"6",2,1,-2.95388185998596,0.734395247613721,0.259516773828251,"1","0","$\beta_k = 1$, $\gamma_k = 0$",-0.368285555763425,-1.672682,1.03512025,0.39886663568625,-0.23272895,1.13562475,0.95,"mean","qi"
"7",2,2,-3.28996195282406,0.986488194118582,-0.325591358219852,"1","0","$\beta_k = 1$, $\gamma_k = 0$",0.208209690930825,-0.92216135,1.3211645,0.3727751831525,-0.1864387,0.9678295,0.95,"mean","qi"
"8",2,3,-1.03326347174983,0.48525591964132,0.391099069024295,"1","0","$\beta_k = 1$, $\gamma_k = 0$",0.785501307684,-0.6498551,2.296704,0.70238957115775,-0.105139325,1.70217825,0.95,"mean","qi"
"9",2,4,-2.89952162542077,1.0301152664389,0.076750884982,"1","0","$\beta_k = 1$, $\gamma_k = 0$",0.18400394021625,-1.2082765,1.5361175,1.5168522767,0.73513025,2.34075525,0.95,"mean","qi"
"10",2,5,-1.91811377318379,1.49215816191049,-0.262398402289549,"1","0","$\beta_k = 1$, $\gamma_k = 0$",0.6498330924505,-0.66168555,1.95458075,1.246318720475,0.504383775,2.09654075,0.95,"mean","qi"
"11",3,1,-2.22766459928005,2.82636945281166,0.00850041321525751,"3","0","$\beta_k = 3$, $\gamma_k = 0$",-0.2903170866005,-1.7388905,1.15215825,1.3263600581,0.438722,2.37371125,0.95,"mean","qi"
